"date","Max","Mean","Med","Min","#people"
2017-01-03,0.86,0.55125,0.52,0.33,10
2017-01-04,1.17,0.578333333333333,0.565,0.31,1
2017-01-05,0.98,0.4625,0.445,0.23,11
2017-01-06,1,0.525833333333333,0.505,0.31,8
2017-01-09,1.21,0.805416666666667,0.82,0.56,4
2017-01-10,1.21,0.797916666666667,0.78,0.48,15
2017-01-11,1.13,0.682608695652174,0.63,0.46,3
2017-01-12,0.93,0.517916666666667,0.49,0.03,7
2017-01-13,0.94,0.622083333333333,0.59,0.37,13
2017-01-16,0.67,0.45,0.43,0.28,1
2017-01-17,0.88,0.505416666666667,0.48,0.22,13
2017-01-18,0.73,0.4325,0.4,0.28,3
2017-01-19,1,0.461666666666667,0.45,0.21,6
2017-01-20,0.86,0.61625,0.565,0.46,11
2017-01-23,1.04,0.615,0.625,0.36,2
2017-01-24,1.07,0.652083333333333,0.59,0.34,18
2017-01-25,0.78,0.50625,0.48,0.35,6
2017-01-26,0.73,0.455833333333333,0.415,0.34,8
2017-02-02,0.64,0.460869565217391,0.45,0.34,9
2017-02-03,0.99,0.5575,0.56,0.27,6
2017-02-06,1.07,0.679583333333333,0.615,0.45,2
2017-02-07,0.94,0.54375,0.545,0.33,28
2017-02-08,0.71,0.436666666666667,0.445,0.23,7
2017-02-09,0.57,0.394583333333333,0.365,0.21,13
2017-02-10,0.79,0.654166666666667,0.63,0.57,6
2017-02-13,0.99,0.5475,0.485,0.29,4
2017-02-14,1.04,0.54875,0.52,0.34,17
2017-02-15,0.85,0.48375,0.465,0.25,1
2017-02-16,1.21,0.569583333333333,0.485,0.26,5
2017-02-17,1.75,0.545,0.47,0.19,9
2017-02-20,1.36,0.47875,0.41,0.21,6
2017-02-21,0.96,0.53875,0.565,0.29,20
2017-02-22,0.91,0.483333333333333,0.435,0.21,3
2017-02-23,0.87,0.511666666666667,0.53,0.27,9
2017-02-24,1.16,0.693333333333333,0.655,0.48,12
2017-02-27,0.9,0.49125,0.44,0.27,3
2017-03-01,0.77,0.45625,0.475,0.25,3
2017-03-02,0.64,0.519583333333333,0.525,0.38,11
2017-03-03,0.98,0.577083333333333,0.57,0.31,9
2017-03-06,0.86,0.436666666666667,0.41,0.25,6
2017-03-07,0.92,0.650416666666667,0.66,0.39,17
2017-03-08,0.93,0.655,0.695,0.03,6
2017-03-09,1.86,0.735,0.725,0.36,10
2017-03-10,1.03,0.63625,0.645,0.34,5
2017-03-13,0.73,0.390833333333333,0.38,0.26,6
2017-03-14,0.54,0.452083333333333,0.465,0.31,10
2017-03-15,1.09,0.457916666666667,0.415,0.28,3
2017-03-16,1,0.489583333333333,0.485,0.28,14
2017-03-17,0.97,0.46875,0.425,0.25,12
2017-03-20,0.91,0.44125,0.45,0.23,5
2017-03-21,0.74,0.499166666666667,0.48,0.24,17
2017-03-22,1.15,0.57125,0.52,0.3,2
2017-03-23,0.54,0.375,0.38,0.23,10
2017-03-24,1.02,0.524583333333333,0.505,0.32,11
2017-03-27,1.07,0.526666666666667,0.505,0.3,3
2017-03-28,0.8,0.487916666666667,0.475,0.33,14
2017-03-29,1.05,0.533333333333333,0.5,0.33,3
2017-03-30,1.34,0.577083333333333,0.545,0.27,12
2017-03-31,1.08,0.395833333333333,0.43,0.16,13
2017-04-05,0.58,0.390833333333333,0.36,0.28,3
2017-04-06,1.02,0.44375,0.38,0.22,12
2017-04-07,0.61,0.33125,0.29,0.17,11
2017-04-10,0.49,0.275416666666667,0.27,0.13,5
2017-04-11,0.52,0.230416666666667,0.23,0.13,18
2017-04-12,0.98,0.655416666666667,0.755,0.18,3
2017-04-13,1.11,0.683333333333333,0.695,0.39,10
2017-04-14,1.14,0.63875,0.67,0.03,20
2017-04-17,0.83,0.291666666666667,0.22,0.11,5
2017-04-18,0.31,0.165909090909091,0.14,0.08,27
2017-04-19,0.69,0.35375,0.3,0.02,8
2017-04-20,0.65,0.248333333333333,0.2,0.13,7
2017-04-21,0.33,0.175833333333333,0.17,0.12,9
2017-04-24,0.89,0.53375,0.485,0.34,7
2017-04-25,0.9,0.520833333333333,0.49,0.33,18
2017-04-26,1.23,0.47625,0.37,0.18,5
2017-04-27,0.62,0.3775,0.36,0.26,11
2017-04-28,0.57,0.355833333333333,0.325,0.24,9
2017-05-02,0.78,0.38375,0.36,0.2,34
2017-05-03,0.57,0.3575,0.315,0.18,2
2017-05-04,0.6,0.32125,0.295,0.2,14
2017-05-05,0.63,0.35625,0.3,0.23,12
