"date","Max","Mean","Med","Min","#people"
2017-01-03,40,21.8333333333333,21.5,7.8,10
2017-01-04,40,22.95,24.5,7.7,1
2017-01-05,29,17.5833333333333,17,5.5,11
2017-01-06,26,20.375,21.5,11,8
2017-01-09,35,25.25,26.5,11,4
2017-01-10,36,26.0833333333333,28,15,15
2017-01-11,34,22.7619047619048,22,14,3
2017-01-12,28,19.8818181818182,19.5,9.4,7
2017-01-13,43,22.9583333333333,18,12,13
2017-01-16,39,22.8291666666667,21,9.9,1
2017-01-17,40,28.8095238095238,29,14,13
2017-01-18,32,21.125,20.5,11,3
2017-01-19,34,22.8333333333333,24,10,6
2017-01-20,35,26.5909090909091,27,16,11
2017-01-23,39,27.85,29.5,11,2
2017-01-24,40,31.7826086956522,33,17,18
2017-01-25,32,26.2916666666667,26.5,21,6
2017-01-26,34,17.9166666666667,17,10,8
2017-02-02,33,17.9208333333333,16,9.1,9
2017-02-03,35,21.3916666666667,23.5,6.4,6
2017-02-06,34,22.6684210526316,24,7.4,2
2017-02-07,35,22.8458333333333,26.5,9,28
2017-02-08,31,20.2375,22,7.1,7
2017-02-09,23,15.75,14.5,10,13
2017-02-10,39,24.9166666666667,26,13,6
2017-02-13,44,24.2625,22,9.3,4
2017-02-14,32,23.3583333333333,24.5,9.3,17
2017-02-15,54,22.4833333333333,22.5,6,1
2017-02-16,72,24.8333333333333,21.5,6.1,5
2017-02-17,56,23.8375,20,8.1,9
2017-02-20,44,17.9583333333333,16,8,6
2017-02-21,28,19.8238095238095,19,8.9,20
2017-02-22,45,19.1833333333333,17,9.4,3
2017-02-23,35,20.6458333333333,18.5,8.5,9
2017-02-24,38,28.875,29,19,12
2017-02-27,30,18.7375,18,7.6,3
2017-03-01,28,19.15,21.5,9.6,3
2017-03-02,32,22.2916666666667,22,12,11
2017-03-03,36,24.25,25.5,12,9
2017-03-06,29,19.1833333333333,18.5,9.4,6
2017-03-07,48,32.9583333333333,34,17,17
2017-03-08,42,31.8571428571429,32,24,6
2017-03-09,52,26.2041666666667,30,7.9,10
2017-03-10,47,25.7958333333333,24.5,7.1,5
2017-03-13,21,10.7625,10.5,2.6,6
2017-03-14,26,19.875,20.5,12,10
2017-03-15,43,20.6625,21.5,6.7,3
2017-03-16,47,19.0583333333333,15.5,6.8,14
2017-03-17,30,15.9041666666667,16,4.5,12
2017-03-20,25,11.1380952380952,8.5,1.3,5
2017-03-21,27,11.2041666666667,10.5,0,17
2017-03-22,17,10.3304347826087,11,3.8,2
2017-03-23,17,11.5611111111111,11,6.4,10
2017-03-24,30,15.175,12.5,4.6,11
2017-03-27,29,13.225,12.5,4.7,3
2017-03-28,41,18.6,18,9.4,14
2017-03-29,45,19.225,16.5,6.4,3
2017-03-30,43,18.7166666666667,16,5,12
2017-03-31,35,13.7625,14.5,1.5,13
2017-04-05,25,12.3583333333333,11,7,3
2017-04-06,48,22.1958333333333,19.5,7.7,12
2017-04-07,30,14.35,14,3.7,11
2017-04-10,17,9.55416666666667,9.6,2.8,5
2017-04-11,14,8.17083333333333,9,2.4,18
2017-04-12,39,25.8875,31,7.9,3
2017-04-13,40,22.4375,25,9.5,10
2017-04-14,43,21.6954545454545,21.5,3.7,20
2017-04-17,25,10.8375,8,3.7,5
2017-04-18,9,4.45,4.7,0.1,27
2017-04-19,26,14.2409090909091,15.5,4,8
2017-04-20,29,10.9041666666667,9,3.8,7
2017-04-21,13,6.52916666666667,5.65,3.4,9
2017-04-24,26,16.6333333333333,16.5,7.6,7
2017-04-25,34,19.3125,18.5,8.5,18
2017-04-26,40,15.8666666666667,13,5.2,5
2017-04-27,36,17.9,17,9.6,11
2017-04-28,27,17.2916666666667,16,12,9
2017-05-02,37,17.5125,15,5.7,34
2017-05-03,19,12.6791666666667,12.5,5.9,2
2017-05-04,27,14.0375,11,5.2,14
2017-05-05,26,13.8375,13,7,12
2017-05-08,23,14.5125,14,7.1,3
2017-05-09,18,10.5,10.9,4.3,13
2017-05-10,22,13.0125,14.5,7,5
2017-05-11,25,12.3916666666667,9.4,6.2,8
2017-05-12,21,14.3333333333333,14,9,9
2017-05-15,21,12.6041666666667,11.5,7.8,6
2017-05-16,39,24.0416666666667,24.5,11,16
2017-05-17,24,18,18,13,1
2017-05-18,27,18.4583333333333,18,11,4
2017-05-19,44,22.5166666666667,22,7.9,9
2017-05-22,12,6.67083333333333,6.6,3.4,9
