"date","Max","Mean","Med","Min","#people"
2017-01-03,9.4,2.5,1.05,0.5,10
2017-01-04,23,3.85,1.15,0.7,1
2017-01-05,5.5,1.20833333333333,0.8,0.3,11
2017-01-06,23,4.8,1.3,0.5,8
2017-01-09,24,6.07916666666667,1.5,0.9,4
2017-01-10,22,4.89583333333333,1.5,0.4,15
2017-01-11,15,2.56190476190476,0.6,0,3
2017-01-12,14,2.825,1.45,0,7
2017-01-13,5.9,2.18333333333333,1.6,0.2,13
2017-01-16,13,3.25416666666667,1.45,0.5,1
2017-01-17,25,6.34285714285714,5.1,0,13
2017-01-18,8.6,1.69166666666667,0.65,0.2,3
2017-01-19,15,2.7875,0.95,0.3,6
2017-01-20,7.1,1.98181818181818,1.7,0.8,11
2017-01-23,11,3.12857142857143,1.5,0,2
2017-01-24,15,4.71739130434783,1.9,0,18
2017-01-25,13,2.99583333333333,0.65,0.2,6
2017-01-26,7.8,1.62916666666667,0.6,0.1,8
2017-02-02,6.1,1.37083333333333,0.35,0,9
2017-02-03,13,1.94166666666667,0.2,0,6
2017-02-06,16,5.27894736842105,3.5,0,2
2017-02-07,24,2.6375,1.1,0,28
2017-02-08,13,2.6625,1.15,0.7,7
2017-02-09,6.4,1.69583333333333,0.85,0.2,13
2017-02-10,5.4,1.90416666666667,1,0.4,6
2017-02-13,15,3.54583333333333,1.7,0.5,4
2017-02-14,13,3.0625,1.55,1,17
2017-02-15,9.9,2.75,1.6,1,1
2017-02-16,25,4.55416666666667,1.9,1.4,5
2017-02-17,36,4.6375,1.8,0.7,9
2017-02-20,13,3.625,2.1,1.5,6
2017-02-21,10,2.69565217391304,1.6,0,20
2017-02-22,14,3.2875,1.55,0.2,3
2017-02-23,22,3.35,1.15,0.2,9
2017-02-24,18,4.8625,2.7,0.4,12
2017-02-27,14,1.8125,0.3,0,3
2017-03-01,7.6,1.59166666666667,0.5,0,3
2017-03-02,2.7,0.583333333333333,0.1,0,11
2017-03-03,12,2.0625,0.25,0,9
2017-03-06,5.2,1.075,0.3,0,6
2017-03-07,7.3,2.43333333333333,1.85,0,17
2017-03-08,18,3.93333333333333,1.85,0,6
2017-03-09,47,7.2,0.85,0,10
2017-03-10,10,1.85,0.95,0,5
2017-03-13,2.1,0.395833333333333,0,0,6
2017-03-14,4.7,1.025,0.25,0,10
2017-03-15,16,2.96666666666667,0.65,0,3
2017-03-16,23,3.25,0.85,0,14
2017-03-17,27,7.375,1.05,0.5,12
2017-03-20,21,2.90909090909091,1.95,0,5
2017-03-21,6.6,2.02083333333333,2.05,0,17
2017-03-22,16,1.55652173913043,0,0,2
2017-03-23,1.7,0.3,0,0,10
2017-03-24,8.9,1.65416666666667,0.65,0,11
2017-03-27,13,1.90833333333333,0.5,0.1,3
2017-03-28,6.8,0.695,0,0,14
2017-03-29,11,1.67916666666667,0.55,0,3
2017-03-30,11,1.0375,0,0,12
2017-03-31,23,2.29583333333333,0.75,0,13
2017-04-05,1.9,0.295833333333333,0.1,0,3
2017-04-06,14,2.20833333333333,0.95,0,12
2017-04-07,3.4,1.20833333333333,1.1,0,11
2017-04-10,5,1.18333333333333,0.6,0,5
2017-04-11,6,0.833333333333333,0.45,0,18
2017-04-12,20,5.925,5.25,0,3
2017-04-13,7.7,1.725,0.5,0,10
2017-04-14,13,1.55416666666667,0.05,0,20
2017-04-17,6.9,1.85416666666667,0.8,0,5
2017-04-18,1.5,0.14,0,0,27
2017-04-19,3.1,0.783333333333333,0.15,0,8
2017-04-20,13,1.6125,0,0,7
2017-04-21,1.5,0.304166666666667,0,0,9
2017-04-24,1.7,0.415789473684211,0.4,0,7
2017-04-25,3,1.27916666666667,1,0.4,18
2017-04-26,6.4,1.62083333333333,1,0.5,5
2017-04-27,7.8,2.12083333333333,1.55,0.7,11
2017-04-28,5.7,1.88333333333333,1.4,0.6,9
2017-05-02,5.7,1.87083333333333,1.1,0.6,34
2017-05-03,2.8,0.945833333333333,0.9,0,2
2017-05-04,5.8,1.775,1.3,0.3,14
2017-05-05,5.4,1.73333333333333,1.2,0.6,12
2017-05-08,5.1,2.34166666666667,1.9,1,3
2017-05-09,11,2.1375,1.5,0.5,13
2017-05-10,7.3,1.60833333333333,0.95,0.4,5
2017-05-11,3.2,1.20416666666667,1,0.7,8
2017-05-12,8.7,3.92916666666667,3.25,0.9,9
2017-05-15,2.4,1.04166666666667,0.8,0.4,6
2017-05-16,14,5.5,3.7,0.8,16
2017-05-17,4.3,1.45833333333333,1.2,0.6,1
2017-05-18,2.8,0.845833333333333,0.65,0.3,4
2017-05-19,8.1,1.64166666666667,0.9,0.5,9
2017-05-22,2,0.829166666666667,0.7,0.3,9
2017-05-23,5.3,1.35,1.1,0.3,12
2017-05-24,8.1,2.00416666666667,1,0.5,2
2017-05-25,11,3.34583333333333,1.3,0.2,11
2017-05-26,15,1.97083333333333,0.6,0,10
2017-05-29,1.6,0.983333333333333,1,0,1
2017-05-31,1.7,0.641666666666667,0.55,0,2
2017-06-01,11,1.47083333333333,1,0,15
2017-06-02,2.3,1.14583333333333,1,0.3,7
2017-06-05,14,3.49166666666667,1.8,0.7,4
2017-06-06,11,2.83333333333333,1.45,0.7,10
2017-06-07,14,2.4,1.3,0.3,6
2017-06-08,10,3.25416666666667,1.85,0.4,10
2017-06-09,6.7,2.87916666666667,2.5,0.6,13
2017-06-12,5.5,2.39166666666667,2.1,0.7,7
2017-06-13,7.8,3.07083333333333,2.6,0.8,14
2017-06-14,10,2.49583333333333,1.5,0.7,4
2017-06-15,45,14.2458333333333,13,0.4,15
2017-06-16,27,4.62083333333333,1.75,0.7,3
2017-06-19,13,2.45833333333333,1.3,0.5,3
2017-06-20,12,2.29583333333333,1.25,0.4,21
2017-06-21,11,3.12916666666667,2.3,0.9,8
2017-06-22,12,2.72916666666667,1.3,0.9,5
2017-06-23,9.8,1.9625,1.25,0.5,11
2017-06-24,8.8,1.65833333333333,0.9,0.1,1
2017-06-26,4.6,1.4625,1.3,0.2,2
2017-06-27,4.8,1.48333333333333,1.4,0.3,12
2017-06-28,4.4,1.68333333333333,1.5,0.6,1
2017-06-29,7.8,3.10833333333333,2.3,0.8,12
2017-06-30,9.9,5.72916666666667,6.65,1.4,11
2017-07-03,12,3.33,2,0,7
2017-07-04,13,5.7625,5.05,1.1,15
2017-07-05,15,6.05,4.95,1,4
2017-07-06,8.9,3.47083333333333,2.75,0.2,14
2017-07-07,15,4.76666666666667,3.65,0.8,12
2017-07-10,7.6,2.65833333333333,2.05,0.4,10
2017-07-11,9.1,3.22272727272727,2.85,0.4,24
2017-07-12,197,13.3913043478261,3.6,0.3,1
2017-07-13,12,2.79166666666667,1.7,1,11
2017-07-14,11,2.3375,1.1,0.3,8
2017-07-17,27,4.78333333333333,2.1,1.4,3
2017-07-18,3.7,0.966666666666667,0.45,0.1,17
2017-07-19,3.9,0.7125,0.4,0,2
2017-07-20,3.7,1.0125,0.7,0.1,12
