"date","Max","Mean","Med","Min","#people"
2017-01-03,91,33.8708333333333,20,1.8,10
2017-01-04,79,34.3958333333333,29,1.6,1
2017-01-05,60,33.3333333333333,28,9,11
2017-01-06,62,29.4625,29.5,1.1,8
2017-01-09,85,29.2875,15.5,1.1,4
2017-01-10,87,33.5375,22,1,15
2017-01-11,94,36.0681818181818,23,4.7,3
2017-01-12,72,32.1458333333333,20.5,4.2,7
2017-01-13,71,25.1875,16.5,1.3,13
2017-01-16,52,21.7291666666667,11,3,1
2017-01-17,67,26.1791666666667,22,0.7,13
2017-01-18,84,35.1791666666667,23,9.3,3
2017-01-19,70,29.9541666666667,21.5,2.9,6
2017-01-20,64,23.3916666666667,13.5,2.8,11
2017-01-23,76,35.0083333333333,21.5,8.2,2
2017-01-24,72,25.7375,16,0.9,18
2017-01-25,61,25.8625,18,5.8,6
2017-01-26,84,39.5416666666667,29.5,17,8
2017-02-02,67,32.2083333333333,23,12,9
2017-02-03,77,32.0375,25.5,3,6
2017-02-06,84,31.9708333333333,24.5,0.8,2
2017-02-07,82,36.2625,28,4.8,28
2017-02-08,67,34.125,31.5,4.6,7
2017-02-09,52,31,28,18,13
2017-02-10,51,33.625,32.5,19,6
2017-02-13,73,32.7291666666667,23.5,4,4
2017-02-14,91,40.3,33,2.9,17
2017-02-15,79,39.9583333333333,30.5,9,1
2017-02-16,84,42.1833333333333,31,8.4,5
2017-02-17,87,38.0791666666667,38,6.2,9
2017-02-20,40,28.4166666666667,28,15,6
2017-02-21,69,36.5583333333333,31,5.8,20
2017-02-22,58,21.5375,19.5,4.7,3
2017-02-23,66,24.0833333333333,12,2.3,9
2017-02-24,48,14.7416666666667,7.2,2,12
2017-02-27,72,36.8583333333333,31,6.7,3
2017-03-01,69,35.825,32.5,5.3,3
2017-03-02,87,47.3333333333333,41.5,11,11
2017-03-03,85,40.6958333333333,35,7.9,9
2017-03-06,63,32,24,12,6
2017-03-07,32,17.0791666666667,17.5,5.4,17
2017-03-08,38,9.82916666666667,5.3,0,6
2017-03-09,85,36.9041666666667,28.5,0.9,10
2017-03-10,60,32.3708333333333,33,9.9,5
2017-03-13,78,50.9166666666667,44.5,35,6
2017-03-14,57,34.2083333333333,32,12,10
2017-03-15,77,39.875,39.5,4.4,3
2017-03-16,84,40.4583333333333,36,12,14
2017-03-17,80,38.8291666666667,37.5,2.1,12
2017-03-20,65,35.375,35.5,10,5
2017-03-21,88,43.2833333333333,39,9.8,17
2017-03-22,89,47.4458333333333,51.5,9.3,2
2017-03-23,95,58.1666666666667,57.5,30,10
2017-03-24,101,54.5125,48.5,6.8,11
2017-03-27,83,49.75,63,6.7,3
2017-03-28,107,62.9583333333333,65.5,24,14
2017-03-29,101,56.0125,47.5,9.3,3
2017-03-30,100,53.4,60.5,7.6,12
2017-03-31,45,30.2083333333333,31.5,11,13
2017-04-05,94,64.3333333333333,66.5,39,3
2017-04-06,83,35.0208333333333,30.5,8.5,12
2017-04-07,56,26.6666666666667,26.5,5.9,11
2017-04-10,27,15.9791666666667,15,6.3,5
2017-04-11,23,15.0208333333333,13.5,7.7,18
2017-04-12,17,7.93333333333333,7.15,1.3,3
2017-04-13,96,34.0416666666667,24,9,10
2017-04-14,84,36.975,40,0,20
2017-04-17,39,18.5333333333333,17,6.8,5
2017-04-18,64,35.1904761904762,27,15,27
2017-04-19,68,39.7958333333333,41,0,8
2017-04-20,57,24.0083333333333,18.5,3.5,7
2017-04-21,30,20.0833333333333,20,11,9
2017-04-24,101,49.9166666666667,43.5,15,7
2017-04-25,129,62.9166666666667,62,18,18
2017-04-26,89,49.2083333333333,43.5,11,5
2017-04-27,58,31.9166666666667,29,12,11
2017-04-28,97,55.5,48,26,9
2017-05-02,82,51.9166666666667,52.5,16,34
2017-05-03,77,46.75,43.5,12,2
2017-05-04,79,41.5416666666667,41,13,14
2017-05-05,92,44.9916666666667,38,6.8,12
2017-05-08,60,30.25,30,6.4,3
2017-05-09,38,18.1041666666667,21,3.6,13
2017-05-10,80,42.6958333333333,48.5,5.1,5
2017-05-11,70,47.5833333333333,45,20,8
2017-05-12,32,17.6041666666667,15,7.9,9
2017-05-15,82,53.0416666666667,46.5,30,6
2017-05-16,33,16.5416666666667,15.5,3.2,16
2017-05-17,92,52.3333333333333,60,17,1
2017-05-18,112,63.75,58.5,28,4
2017-05-19,99,42.875,36,12,9
2017-05-22,49,39.9166666666667,39,31,9
2017-05-23,46,32.2916666666667,32.5,19,12
2017-05-24,26,19.1916666666667,20.5,8.7,2
2017-05-25,30,17.9695652173913,19,5,11
2017-05-26,82,43.2291666666667,46.5,3.3,10
2017-05-29,92,64,62,49,1
2017-05-31,39,23.9708333333333,24.5,2.9,2
2017-06-01,25,17.2041666666667,16.5,6.6,15
2017-06-02,20,15.9583333333333,16,13,7
2017-06-05,43,15.1208333333333,13,0.8,4
2017-06-06,27,16.9416666666667,19,3.7,10
2017-06-07,31,17.7541666666667,19.5,4.5,6
2017-06-08,27,13.475,13.5,1.7,10
2017-06-09,73,19.7958333333333,14,0.8,13
2017-06-12,26,19.9708333333333,20.5,9.3,7
2017-06-13,22,15.0375,14.5,8.9,14
