"date","Max","Mean","Med","Min","#people"
2017-01-03,129,104.791666666667,110.5,77,10
2017-01-04,132,102.833333333333,108,62,1
2017-01-05,117,79.5416666666667,78,45,11
2017-01-06,126,89.2916666666667,94,0,8
2017-01-09,209,105.875,90,42,4
2017-01-10,138,106.041666666667,108,85,15
2017-01-11,145,117.958333333333,115,91,3
2017-01-12,125,89.375,91,0,7
2017-01-13,119,91.5,93.5,61,13
2017-01-16,100,60,54.5,0,1
2017-01-17,110,83.9583333333333,84,57,13
2017-01-18,107,83.625,81,71,3
2017-01-19,109,75.25,74.5,52,6
2017-01-20,202,105.125,84,69,11
2017-01-23,176,109.5,114.5,0,2
2017-01-24,154,122.416666666667,122,75,18
2017-01-25,127,88.2916666666667,85.5,57,6
2017-01-26,122,76.7083333333333,69,45,8
2017-02-02,168,78.0416666666667,59.5,0,9
2017-02-03,133,93.875,94,62,6
2017-02-06,199,116.875,106,0,2
2017-02-07,169,123.583333333333,127.5,55,28
2017-02-08,128,96.2083333333333,93.5,78,7
2017-02-09,150,81.0833333333333,79,47,13
2017-02-10,163,107.833333333333,103,75,6
2017-02-13,138,86.7083333333333,86.5,58,4
2017-02-14,138,98.3333333333333,98.5,68,17
2017-02-15,124,92.2916666666667,100,0,1
2017-02-16,115,83.875,89,42,5
2017-02-17,76,61.625,60,50,9
2017-02-20,125,72.2083333333333,62,33,6
2017-02-21,152,106.681818181818,112.5,0,20
2017-02-22,129,81.0416666666667,93.5,27,3
2017-02-23,112,70.75,66,40,9
2017-02-24,120,75.4347826086957,66,51,12
2017-02-27,134,88.2083333333333,77.5,60,3
2017-03-01,96,74.5833333333333,74,61,3
2017-03-02,255,130.458333333333,108,75,11
2017-03-03,158,117.25,118,78,9
2017-03-06,99,63.5416666666667,58.5,0,6
2017-03-07,151,105.916666666667,96,74,17
2017-03-08,86,65.7826086956522,67,40,6
2017-03-09,107,69.75,69,38,10
2017-03-10,122,88.3333333333333,88.5,49,5
2017-03-13,109,58.0833333333333,55.5,0,6
2017-03-14,106,70.7916666666667,71,49,10
2017-03-15,102,76.4166666666667,78,45,3
2017-03-16,142,71.0833333333333,68,19,14
2017-03-17,111,68.2916666666667,66,34,12
2017-03-20,82,54.5,59.5,0,5
2017-03-21,137,74.3333333333333,69.5,48,17
2017-03-22,124,76.4583333333333,81,40,2
2017-03-23,104,70,62.5,41,10
2017-03-24,110,81.1666666666667,92,41,11
2017-03-27,93,65.125,64.5,43,3
2017-03-28,104,84.75,87,0,14
2017-03-29,122,96.6666666666667,96,77,3
2017-03-30,114,93.4166666666667,95.5,56,12
2017-03-31,98,60.4583333333333,60,33,13
2017-04-05,92,74.9166666666667,75,57,3
2017-04-06,102,63.2916666666667,62,0,12
2017-04-07,65,50.0416666666667,52,34,11
2017-04-10,61,33.5416666666667,32,14,5
2017-04-11,44,31.25,29.5,20,18
2017-04-12,82,49.7916666666667,49,25,3
2017-04-13,87,61.125,70,0,10
2017-04-14,116,76.3636363636364,81.5,35,20
2017-04-17,84,42.625,37.5,15,5
2017-04-18,63,31.75,27.5,0,27
2017-04-19,84,50.1666666666667,50.5,0,8
2017-04-20,55,35.75,35.5,19,7
2017-04-21,39,27.8333333333333,28.5,15,9
2017-04-24,110,55,53.5,0,7
2017-04-25,134,88.4166666666667,94.5,42,18
2017-04-26,123,74.9166666666667,71.5,25,5
2017-04-27,86,56.375,55,31,11
2017-04-28,76,44.8333333333333,37.5,25,9
2017-05-02,100,62.7083333333333,62.5,34,34
2017-05-03,88,55.4583333333333,56.5,0,2
2017-05-04,87,59.4583333333333,60,31,14
2017-05-05,97,69.3333333333333,66,47,12
2017-05-08,82,54.5,51.5,27,3
2017-05-09,40,32.75,34,19,13
2017-05-10,75,51.4166666666667,49,37,5
2017-05-11,90,55.125,52,35,8
2017-05-12,67,44.1818181818182,42,34,9
2017-05-15,56,43.125,47,21,6
2017-05-16,69,43.9130434782609,45,24,16
2017-05-17,61,40.75,41,20,1
2017-05-18,93,62.2916666666667,63.5,33,4
2017-05-19,116,69.8333333333333,75.5,0,9
2017-05-22,53,33.7916666666667,32,22,9
2017-05-23,52,31.1666666666667,31,11,12
2017-05-24,34,25.7916666666667,27,14,2
2017-05-25,37,23.9130434782609,25,0,11
2017-05-26,80,51.7083333333333,55,13,10
2017-05-29,83,53.7083333333333,50.5,36,1
2017-05-31,30,21.375,22,8,2
2017-06-01,37,23.304347826087,26,0,15
2017-06-02,59,38.2083333333333,36,22,7
2017-06-05,47,32.9583333333333,34,0,4
2017-06-06,49,32.0416666666667,32.5,17,10
2017-06-07,34,27.0833333333333,27,18,6
2017-06-08,50,29.9166666666667,31.5,17,10
2017-06-09,61,36.875,36.5,21,13
2017-06-12,46,30.3333333333333,30.5,0,7
2017-06-13,41,29.8260869565217,32,0,14
2017-06-14,49,32.75,32.5,11,4
2017-06-15,50,30.9583333333333,29.5,20,15
2017-06-16,45,36.125,36,30,3
2017-06-19,39,29.5217391304348,30,18,3
2017-06-20,41,28.625,26.5,19,21
2017-06-21,42,26.7916666666667,26.5,14,8
2017-06-22,36,23.5833333333333,21,13,5
2017-06-23,70,26.4583333333333,21,12,11
2017-06-24,46,28.3333333333333,26.5,16,1
2017-06-26,35,26.1666666666667,26,20,2
2017-06-27,36,27.5217391304348,28,15,12
2017-06-28,41,25.8333333333333,25.5,13,1
2017-06-29,52,38.4166666666667,38.5,27,12
2017-06-30,45,32.75,33,18,11
2017-07-03,37,28.35,29,18,7
2017-07-04,55,31.6666666666667,31.5,17,15
2017-07-05,49,36.5833333333333,36.5,27,4
2017-07-06,72,42.6818181818182,42.5,17,14
2017-07-07,38,28.2083333333333,27,19,12
