"date","Max","Mean","Med","Min","#people"
2017-01-01,82,39.4583333333333,34.5,24,NA
2017-01-02,89,64.25,61,46,NA
2017-01-03,81,56.2083333333333,54.5,37,10
2017-01-04,84,53.9166666666667,53,40,1
2017-01-05,72,43.5833333333333,40.5,23,11
2017-01-06,82,55.2083333333333,57,0,8
2017-01-07,81,56.0833333333333,59.5,29,NA
2017-01-08,70,38.7083333333333,36,20,NA
2017-01-09,67,46.0833333333333,47,24,4
2017-01-10,72,53.125,52,36,15
2017-01-11,99,63.9583333333333,64.5,25,3
2017-01-12,70,42.7083333333333,40,0,7
2017-01-13,77,52.3333333333333,50.5,31,13
2017-01-14,53,39.0416666666667,39.5,22,NA
2017-01-15,62,47.25,48,35,NA
2017-01-16,41,23.7916666666667,24,0,1
2017-01-17,63,35.7916666666667,32,22,13
2017-01-18,59,37.8333333333333,35,21,3
2017-01-19,67,38.0416666666667,38.5,11,6
2017-01-20,68,47.4166666666667,46,30,11
2017-01-21,64,50.3333333333333,50.5,30,NA
2017-01-22,54,38.2916666666667,37.5,23,NA
2017-01-23,71,46.6666666666667,49.5,0,2
2017-01-24,92,53.375,55.5,19,18
2017-01-25,71,39.75,33,23,6
2017-01-26,40,34.7083333333333,36.5,23,8
2017-01-27,57,39.0833333333333,38.5,25,NA
2017-01-28,51,33.8333333333333,35,15,NA
2017-01-29,62,40.4583333333333,38.5,22,NA
2017-01-30,78,44.4583333333333,44,25,NA
2017-01-31,37,27.9583333333333,28.5,15,NA
2017-02-01,36,25.4166666666667,26,10,NA
2017-02-02,59,26.1666666666667,23.5,0,9
2017-02-03,62,42.875,46.5,21,6
2017-02-04,72,51.625,53.5,29,NA
2017-02-05,75,50.375,53,24,NA
2017-02-06,84,57.6086956521739,61,0,2
2017-02-07,81,54.8333333333333,63.5,13,28
2017-02-08,46,34.0416666666667,36,15,7
2017-02-09,37,20.0416666666667,18,4,13
2017-02-10,79,62.4583333333333,62,29,6
2017-02-11,95,77.0416666666667,75,65,NA
2017-02-12,76,50.0833333333333,45.5,31,NA
2017-02-13,59,37.2916666666667,33.5,16,4
2017-02-14,60,44.0833333333333,44.5,23,17
2017-02-15,66,43.1666666666667,47,0,1
2017-02-16,76,45.9583333333333,47,21,5
2017-02-17,44,27.0833333333333,26,13,9
2017-02-18,96,64.25,67,22,NA
2017-02-19,84,57.1666666666667,52,40,NA
2017-02-20,64,29.4583333333333,26,1,6
2017-02-21,76,48.875,48,0,20
2017-02-22,69,38.2083333333333,41,7,3
2017-02-23,67,21.4583333333333,18,1,9
2017-02-24,52,33.9565217391304,32,20,12
2017-02-25,51,33.9583333333333,33,22,NA
2017-02-26,52,29.375,28,1,NA
2017-02-27,66,43.625,41.5,25,3
2017-02-28,71,48.1666666666667,52.5,19,NA
2017-03-01,56,38.5,40,16,3
2017-03-02,65,54.0416666666667,54,39,11
2017-03-03,76,52.2916666666667,51,32,9
2017-03-04,77,57.25,62,28,NA
