"date","SO2","CO","O3","PM2.5","PM10","NO2","NO","patient"
2017-01-01,3.8583,0.6825,37.8333,39.4583,95.625,19.9542,4.4125,NA
2017-01-02,2.1417,0.4938,36.8292,64.25,114.5833,16.9917,1.2,NA
2017-01-03,3.2375,0.5512,33.8708,56.2083,104.7917,21.8333,2.5,10
2017-01-04,4.4042,0.5783,34.3958,53.9167,102.8333,22.95,3.85,1
2017-01-05,2.3708,0.4625,33.3333,43.5833,79.5417,17.5833,1.2083,11
2017-01-06,3.8792,0.5258,29.4625,55.2083,89.2917,20.375,4.8,8
2017-01-07,3.8625,0.5538,32.2625,56.0833,93.1667,19.6958,2.5667,NA
2017-01-08,2.35,0.4588,39.1667,38.7083,70.7083,14.4833,1.7792,NA
2017-01-09,4.5875,0.8054,29.2875,46.0833,105.875,25.25,6.0792,4
2017-01-10,4.6417,0.7979,33.5375,53.125,106.0417,26.0833,4.8958,15
2017-01-11,4.6957,0.6826,36.0682,63.9583,117.9583,22.7619,2.5619,3
2017-01-12,3.5417,0.5179,32.1458,42.7083,89.375,19.8818,2.825,7
2017-01-13,3.3583,0.6221,25.1875,52.3333,91.5,22.9583,2.1833,13
2017-01-14,2.8417,0.7138,17.8292,39.0417,61.9583,24.4583,2.4292,NA
2017-01-15,4.0417,0.5733,23.3917,47.25,79.6667,20.75,1.9583,NA
2017-01-16,4.4875,0.45,21.7292,23.7917,60,22.8292,3.2542,1
2017-01-17,5.3333,0.5054,26.1792,35.7917,83.9583,28.8095,6.3429,13
2017-01-18,3.075,0.4325,35.1792,37.8333,83.625,21.125,1.6917,3
2017-01-19,3.1625,0.4617,29.9542,38.0417,75.25,22.8333,2.7875,6
2017-01-20,2.9417,0.6162,23.3917,47.4167,105.125,26.5909,1.9818,11
2017-01-21,3.55,0.59,28.5,50.3333,105.375,23.7917,2.8708,NA
2017-01-22,3.6583,0.5033,31.6083,38.2917,100.0417,21.9167,1.9167,NA
2017-01-23,4.7625,0.615,35.0083,46.6667,109.5,27.85,3.1286,2
2017-01-24,5.0167,0.6521,25.7375,53.375,122.4167,31.7826,4.7174,18
2017-01-25,4.3917,0.5062,25.8625,39.75,88.2917,26.2917,2.9958,6
2017-01-26,3.3458,0.4558,39.5417,34.7083,76.7083,17.9167,1.6292,8
2017-01-27,2.8917,0.4408,35.75,39.0833,87.25,17.4083,0.9292,NA
2017-01-28,3.1167,0.5079,37.3083,33.8333,72.8333,17.0458,0.7958,NA
2017-01-29,3.0167,0.4454,41.25,40.4583,71.4167,15.7417,0.55,NA
2017-01-30,4.5458,0.5258,36.925,44.4583,102.4583,18.1667,1.1333,NA
2017-01-31,3.1458,0.4846,28.3333,27.9583,66.7083,17.5417,0.7708,NA
2017-02-01,2.8875,0.4392,25.25,25.4167,77.1667,17.7292,1.1,NA
2017-02-02,3.1875,0.4609,32.2083,26.1667,78.0417,17.9208,1.3708,9
2017-02-03,3.5875,0.5575,32.0375,42.875,93.875,21.3917,1.9417,6
2017-02-04,3.15,0.5296,22.4,51.625,112.375,21.75,2.2292,NA
2017-02-05,2.7917,0.5467,20.8625,50.375,92.75,21.625,1.7083,NA
2017-02-06,3.1958,0.6796,31.9708,57.6087,116.875,22.6684,5.2789,2
2017-02-07,3.9375,0.5438,36.2625,54.8333,123.5833,22.8458,2.6375,28
2017-02-08,4.8458,0.4367,34.125,34.0417,96.2083,20.2375,2.6625,7
2017-02-09,2.2208,0.3946,31,20.0417,81.0833,15.75,1.6958,13
2017-02-10,5.3083,0.6542,33.625,62.4583,107.8333,24.9167,1.9042,6
2017-02-11,3.4542,0.725,16.0583,77.0417,109.375,29.25,2.1792,NA
2017-02-12,3.4917,0.5354,31.1583,50.0833,87.5833,21.5833,1.775,NA
2017-02-13,4.2042,0.5475,32.7292,37.2917,86.7083,24.2625,3.5458,4
2017-02-14,3.375,0.5488,40.3,44.0833,98.3333,23.3583,3.0625,17
2017-02-15,4.3417,0.4838,39.9583,43.1667,92.2917,22.4833,2.75,1
2017-02-16,4.5417,0.5696,42.1833,45.9583,83.875,24.8333,4.5542,5
2017-02-17,2.9,0.545,38.0792,27.0833,61.625,23.8375,4.6375,9
2017-02-18,2.675,0.5304,40.5792,64.25,123.875,19.1333,2.2875,NA
2017-02-19,4.2375,0.5279,46.15,57.1667,104.2917,16.7417,2.5375,NA
2017-02-20,4.55,0.4788,28.4167,29.4583,72.2083,17.9583,3.625,6
2017-02-21,4.0042,0.5387,36.5583,48.875,106.6818,19.8238,2.6957,20
2017-02-22,6.4792,0.4833,21.5375,38.2083,81.0417,19.1833,3.2875,3
2017-02-23,4.0458,0.5117,24.0833,21.4583,70.75,20.6458,3.35,9
2017-02-24,4.25,0.6933,14.7417,33.9565,75.4348,28.875,4.8625,12
2017-02-25,2.4667,0.5208,26.1917,33.9583,59.7917,22.625,1.9708,NA
2017-02-26,2.2792,0.3967,31.0292,29.375,61.0417,16.2583,1.0292,NA
2017-02-27,4.575,0.4912,36.8583,43.625,88.2083,18.7375,1.8125,3
2017-02-28,4.9667,0.5079,41.375,48.1667,89.8333,19.5,1.0375,NA
2017-03-01,4.2125,0.4562,35.825,38.5,74.5833,19.15,1.5917,3
2017-03-02,5.3583,0.5196,47.3333,54.0417,130.4583,22.2917,0.5833,11
2017-03-03,5.3208,0.5771,40.6958,52.2917,117.25,24.25,2.0625,9
2017-03-04,6.2083,0.6496,53.375,57.25,105.2917,23.6458,0.9125,NA
2017-03-05,3.65,0.5083,37.1667,31.125,70.9583,18.8667,1.0833,NA
2017-03-06,3.9833,0.4367,32,24.0417,63.5417,19.1833,1.075,6
2017-03-07,4.675,0.6504,17.0792,65.125,105.9167,32.9583,2.4333,17
2017-03-08,2.7417,0.655,9.8292,42.6957,65.7826,31.8571,3.9333,6
2017-03-09,4.2667,0.735,36.9042,46.3333,69.75,26.2042,7.2,10
2017-03-10,4.2625,0.6362,32.3708,48.625,88.3333,25.7958,1.85,5
2017-03-11,2.4958,0.4608,45.5417,40.875,75,15.8417,1.0542,NA
2017-03-12,4.1458,0.5017,45.6667,40.5,75.625,14.1917,1.3167,NA
2017-03-13,2.3417,0.3908,50.9167,31.4583,58.0833,10.7625,0.3958,6
2017-03-14,3.9375,0.4521,34.2083,38.0833,70.7917,19.875,1.025,10
2017-03-15,5.1125,0.4579,39.875,41.9167,76.4167,20.6625,2.9667,3
2017-03-16,4.9333,0.4896,40.4583,38.4583,71.0833,19.0583,3.25,14
2017-03-17,3.6042,0.4688,38.8292,41.7083,68.2917,15.9042,7.375,12
2017-03-18,5.1917,0.5183,44.3,52.375,88.1667,17.4292,3.4875,NA
2017-03-19,4.1875,0.5333,34.575,50.5833,83.2917,11.7167,9.6708,NA
2017-03-20,4.0875,0.4412,35.375,28.25,54.5,11.1381,2.9091,5
2017-03-21,3.5375,0.4992,43.2833,35.1667,74.3333,11.2042,2.0208,17
2017-03-22,4.55,0.5712,47.4458,37.1667,76.4583,10.3304,1.5565,2
2017-03-23,3.0167,0.375,58.1667,26.4444,70,11.5611,0.3,10
2017-03-24,5.175,0.5246,54.5125,38.9167,81.1667,15.175,1.6542,11
2017-03-25,2.65,0.4212,48.0833,25.75,68.875,10.7667,0.975,NA
2017-03-26,2.875,0.5433,23.6292,18.75,38.75,15.9,0.8042,NA
2017-03-27,2.8083,0.5267,49.75,28.6667,65.125,13.225,1.9083,3
2017-03-28,4.9708,0.4879,62.9583,35.375,84.75,18.6,0.695,14
2017-03-29,5.4292,0.5333,56.0125,50.2917,96.6667,19.225,1.6792,3
2017-03-30,5.9875,0.5771,53.4,52.1667,93.4167,18.7167,1.0375,12
2017-03-31,3.7833,0.3958,30.2083,29.5,60.4583,13.7625,2.2958,13
2017-04-01,2.6167,0.4062,53.25,23.5833,58.0417,13.9083,0.4333,NA
2017-04-02,2.425,0.3783,65.9583,38.625,62.0417,10.625,0.1292,NA
2017-04-03,2.4167,0.3467,69.875,31.75,57.9583,9.1792,0.4417,NA
2017-04-04,3.7083,0.3408,69.375,32.0417,59.9583,10.1333,0.8917,NA
2017-04-05,3.9542,0.3908,64.3333,39.8333,74.9167,12.3583,0.2958,3
2017-04-06,5.5125,0.4438,35.0208,30.9583,63.2917,22.1958,2.2083,12
2017-04-07,5.0917,0.3312,26.6667,14.6667,50.0417,14.35,1.2083,11
2017-04-08,4.3833,0.3175,22.7125,19.7083,52.3333,13.2583,0.9083,NA
2017-04-09,3.8708,0.2429,19.3042,13.7917,42.2917,9.2875,1.3458,NA
2017-04-10,3.0542,0.2754,15.9792,15.75,33.5417,9.5542,1.1833,5
2017-04-11,2.8542,0.2304,15.0208,12.25,31.25,8.1708,0.8333,18
2017-04-12,4.1292,0.6554,7.9333,28.0417,49.7917,25.8875,5.925,3
2017-04-13,2.2333,0.6833,34.0417,42.4167,61.125,22.4375,1.725,10
2017-04-14,4.1708,0.6388,36.975,48.3182,76.3636,21.6955,1.5542,20
2017-04-15,3.6917,0.5008,51.5,37.9167,67.9583,14.3083,1.1333,NA
2017-04-16,3.3625,0.2471,32.4167,22.5,47.125,8.0208,0.875,NA
2017-04-17,4.1583,0.2917,18.5333,17.2083,42.625,10.8375,1.8542,5
2017-04-18,1.5762,0.1659,35.1905,15.2917,31.75,4.45,0.14,27
2017-04-19,3.6292,0.3538,39.7958,31.5833,50.1667,14.2409,0.7833,8
2017-04-20,2.725,0.2483,24.0083,19.0833,35.75,10.9042,1.6125,7
2017-04-21,1.5333,0.1758,20.0833,16.125,27.8333,6.5292,0.3042,9
2017-04-22,2.325,0.3829,27.5833,24.2917,42.7083,15.8625,0.7417,NA
2017-04-23,2.6458,0.5483,31.2083,22.1667,46.5833,19.1542,0.6875,NA
2017-04-24,3.0125,0.5337,49.9167,28.0417,55,16.6333,0.4158,7
2017-04-25,2.65,0.5208,62.9167,52.75,88.4167,19.3125,1.2792,18
2017-04-26,4.6458,0.4762,49.2083,43.9167,74.9167,15.8667,1.6208,5
2017-04-27,3.9875,0.3775,31.9167,34.25,56.375,17.9,2.1208,11
2017-04-28,2.9542,0.3558,55.5,18.9167,44.8333,17.2917,1.8833,9
2017-04-29,4.9917,0.4367,69.875,28.0833,66.75,22.2083,1.4708,NA
2017-04-30,3.6333,0.3692,67.4583,25.6667,55.375,17.4375,0.85,NA
2017-05-01,6.7458,0.43,59.875,29.125,58.2083,20.8292,1.9292,NA
2017-05-02,4.8458,0.3838,51.9167,31.5,62.7083,17.5125,1.8708,34
2017-05-03,5.3958,0.3575,46.75,33.3333,55.4583,12.6792,0.9458,2
2017-05-04,5.0667,0.3212,41.5417,32,59.4583,14.0375,1.775,14
2017-05-05,5.9042,0.3562,44.9917,41.7083,69.3333,13.8375,1.7333,12
2017-05-06,3.7833,0.3667,40.5375,32.6667,64.375,13.9292,1.6542,NA
2017-05-07,3.7458,0.4204,50.125,41.25,74.2083,14.4125,1.6667,NA
2017-05-08,4.7667,0.3033,30.25,21.8333,54.5,14.5125,2.3417,3
2017-05-09,3.7375,0.1867,18.1042,12.0833,32.75,10.5,2.1375,13
2017-05-10,3.9542,0.2921,42.6958,22.625,51.4167,13.0125,1.6083,5
2017-05-11,3.6333,0.2938,47.5833,28.5,55.125,12.3917,1.2042,8
2017-05-12,5.6542,0.2892,17.6042,12.3182,44.1818,14.3333,3.9292,9
2017-05-13,1.6292,0.1529,30.75,14.7917,33.7083,7.5458,1.0917,NA
2017-05-14,3.6667,0.2275,41.875,14.5417,36.5417,10.65,1,NA
2017-05-15,4.7375,0.2683,53.0417,19.3333,43.125,12.6042,1.0417,6
2017-05-16,4.3125,0.4454,16.5417,15.5217,43.913,24.0417,5.5,16
2017-05-17,3.3708,0.3729,52.3333,16.5,40.75,18,1.4583,1
2017-05-18,4.2333,0.4267,63.75,32,62.2917,18.4583,0.8458,4
2017-05-19,4.45,0.5104,42.875,34.125,69.8333,22.5167,1.6417,9
2017-05-20,2.975,0.9279,30.875,21.375,46.875,16.2917,3.1125,NA
2017-05-21,2.4417,0.6325,40.675,26.0417,55.25,13.2833,1.3417,NA
2017-05-22,2.0583,0.1862,39.9167,14.4167,33.7917,6.6708,0.8292,9
2017-05-23,2.875,0.1679,32.2917,15.3333,31.1667,7.6208,1.35,12
2017-05-24,2.2458,0.2229,19.1917,7,25.7917,8.1167,2.0042,2
2017-05-25,3.2125,0.3075,17.9696,10.6087,23.913,14.2792,3.3458,11
2017-05-26,3.4292,0.49,43.2292,25.25,51.7083,21.8333,1.9708,10
2017-05-27,3.4417,0.3808,51.125,26.9583,56.4167,15.65,0.8417,NA
2017-05-28,3.2208,0.4108,53.75,35.9583,65.7917,15.4167,0.5667,NA
2017-05-29,3.4083,0.2917,64,24.375,53.7083,9.75,0.9833,1
2017-05-30,4.7042,0.4317,24.5542,16.6667,38.0417,18.0417,2.5708,NA
