"date","Max","Mean","Med","Min","#people"
2017-01-03,0,0,0,0,10
2017-01-04,0,0,0,0,1
2017-01-05,0,0,0,0,11
2017-01-06,0,0,0,0,8
2017-01-09,0,0,0,0,4
2017-01-10,0,0,0,0,15
2017-01-11,0,0,0,0,3
2017-01-12,0,0,0,0,7
2017-01-13,0,0,0,0,13
2017-01-16,0,0,0,0,1
2017-01-17,0,0,0,0,13
2017-01-18,0,0,0,0,3
2017-01-19,0,0,0,0,6
2017-01-20,0,0,0,0,11
2017-01-23,0,0,0,0,2
2017-01-24,0,0,0,0,18
2017-01-25,0,0,0,0,6
2017-01-26,0,0,0,0,8
2017-02-02,0,0,0,0,9
2017-02-03,0,0,0,0,6
2017-02-06,0,0,0,0,2
2017-02-07,0,0,0,0,28
2017-02-08,0,0,0,0,7
2017-02-09,0.2,0.00833333333333333,0,0,13
2017-02-10,0,0,0,0,6
2017-02-13,0,0,0,0,4
2017-02-14,0,0,0,0,17
2017-02-15,0,0,0,0,1
2017-02-16,0,0,0,0,5
2017-02-17,0,0,0,0,9
2017-02-20,0,0,0,0,6
2017-02-21,0,0,0,0,20
2017-02-22,0,0,0,0,3
2017-02-23,0.6,0.025,0,0,9
2017-02-24,0,0,0,0,12
2017-02-27,0,0,0,0,3
2017-03-01,0,0,0,0,3
2017-03-02,0,0,0,0,11
2017-03-03,0,0,0,0,9
2017-03-06,0,0,0,0,6
2017-03-07,0,0,0,0,17
2017-03-08,0,0,0,0,6
2017-03-09,0,0,0,0,10
2017-03-10,1.6,0.0666666666666667,0,0,5
2017-03-13,0,0,0,0,6
2017-03-14,0,0,0,0,10
2017-03-15,0.2,0.00833333333333333,0,0,3
2017-03-16,0.6,0.0333333333333333,0,0,14
2017-03-17,0,0,0,0,12
2017-03-20,0,0,0,0,5
2017-03-21,0,0,0,0,17
2017-03-22,0,0,0,0,2
2017-03-23,0,0,0,0,10
2017-03-24,0,0,0,0,11
2017-03-27,0,0,0,0,3
2017-03-28,0,0,0,0,14
2017-03-29,0,0,0,0,3
2017-03-30,0,0,0,0,12
2017-03-31,0,0,0,0,13
2017-04-05,0,0,0,0,3
2017-04-06,0,0,0,0,12
2017-04-07,0,0,0,0,11
2017-04-10,0,0,0,0,5
2017-04-11,0,0,0,0,18
2017-04-12,7.2,1.00833333333333,0,0,3
2017-04-13,3.4,0.333333333333333,0,0,10
2017-04-14,2,0.0833333333333333,0,0,20
2017-04-17,0.8,0.0416666666666667,0,0,5
2017-04-18,0,0,0,0,27
2017-04-19,2,0.166666666666667,0,0,8
2017-04-20,0,0,0,0,7
2017-04-21,0,0,0,0,9
2017-04-24,0.2,0.00833333333333333,0,0,7
2017-04-25,0,0,0,0,18
2017-04-26,0,0,0,0,5
2017-04-27,0,0,0,0,11
2017-04-28,0,0,0,0,9
2017-05-02,0,0,0,0,34
2017-05-03,0,0,0,0,2
2017-05-04,0,0,0,0,14
2017-05-05,0,0,0,0,12
2017-05-08,0.2,0.00833333333333333,0,0,3
2017-05-09,0,0,0,0,13
2017-05-10,0.2,0.00833333333333333,0,0,5
2017-05-11,0,0,0,0,8
2017-05-12,0,0,0,0,9
2017-05-15,0,0,0,0,6
2017-05-16,13,0.95,0,0,16
2017-05-17,0,0,0,0,1
2017-05-18,0.2,0.00833333333333333,0,0,4
2017-05-19,2,0.2,0,0,9
2017-05-22,0,0,0,0,9
2017-05-23,0,0,0,0,12
2017-05-24,16,1.11666666666667,0,0,2
2017-05-25,21,1.525,0,0,11
2017-05-26,0.4,0.025,0,0,10
2017-05-29,0,0,0,0,1
2017-05-31,0.6,0.025,0,0,2
2017-06-01,8.2,0.458333333333333,0,0,15
2017-06-02,1.8,0.1,0,0,7
2017-06-05,0,0,0,0,4
2017-06-06,0,0,0,0,10
2017-06-07,1.2,0.0666666666666667,0,0,6
2017-06-08,19,1.325,0,0,10
2017-06-09,0,0,0,0,13
2017-06-12,17,0.708333333333333,0,0,7
2017-06-13,3.2,0.158333333333333,0,0,14
2017-06-14,4.4,0.308333333333333,0,0,4
2017-06-15,14,2.9,0.2,0,15
2017-06-16,0.8,0.191666666666667,0,0,3
2017-06-19,0,0,0,0,3
2017-06-20,0,0,0,0,21
2017-06-21,0,0,0,0,8
2017-06-22,0,0,0,0,5
2017-06-23,0.2,0.00833333333333333,0,0,11
2017-06-24,0,0,0,0,1
2017-06-26,0,0,0,0,2
2017-06-27,0,0,0,0,12
2017-06-28,0,0,0,0,1
2017-06-29,5.8,0.291666666666667,0,0,12
2017-06-30,0.2,0.00833333333333333,0,0,11
2017-07-03,0,0,0,0,7
2017-07-04,0.4,0.0166666666666667,0,0,15
2017-07-05,0,0,0,0,4
2017-07-06,0,0,0,0,14
2017-07-07,0,0,0,0,12
2017-07-10,0,0,0,0,10
2017-07-11,0,0,0,0,24
2017-07-12,0.8,0.0333333333333333,0,0,1
2017-07-13,0.4,0.025,0,0,11
2017-07-14,0,0,0,0,8
2017-07-17,2,0.1,0,0,3
2017-07-18,0,0,0,0,17
2017-07-19,0,0,0,0,2
2017-07-20,0,0,0,0,12
2017-07-21,1.4,0.0916666666666667,0,0,12
2017-07-24,0,0,0,0,5
2017-07-25,0,0,0,0,30
