"date","Max","Mean","Med","Min","#people"
2017-01-03,93,82.9583333333333,82,69,10
2017-01-04,89,80.0833333333333,80.5,66,1
2017-01-05,90,79.2083333333333,79,68,11
2017-01-06,90,76.75,80.5,53,8
2017-01-09,87,76.125,75,66,4
2017-01-10,79,72.4166666666667,76,58,15
2017-01-11,85,74.2916666666667,74.5,60,3
2017-01-12,86,78.5,80,66,7
2017-01-13,87,77.375,74.5,65,13
2017-01-16,76,71.375,72,64,1
2017-01-17,82,72.7916666666667,74,58,13
2017-01-18,88,76.3333333333333,77,61,3
2017-01-19,86,77.75,79,62,6
2017-01-20,87,72.6666666666667,67.5,56,11
2017-01-23,67,63.0416666666667,64,56,2
2017-01-24,73,66.0833333333333,67.5,55,18
2017-01-25,77,68.375,72,51,6
2017-01-26,81,70,72,54,8
2017-02-02,78,69.625,71,61,9
2017-02-03,81,71.9583333333333,74.5,63,6
2017-02-06,88,76.0833333333333,73,63,2
2017-02-07,74,68.625,70,60,28
2017-02-08,82,68.0416666666667,65.5,54,7
2017-02-09,78,63.9583333333333,60,51,13
2017-02-10,60,53.0833333333333,53,46,6
2017-02-13,77,65.4166666666667,64.5,52,4
2017-02-14,83,67.5833333333333,64.5,51,17
2017-02-15,79,66.2083333333333,64,55,1
2017-02-16,84,60.625,54,41,5
2017-02-17,70,58.2083333333333,60.5,46,9
2017-02-20,86,74.3333333333333,73.5,63,6
2017-02-21,82,76.0416666666667,76,68,20
2017-02-22,86,75.6666666666667,75.5,62,3
2017-02-23,84,75.625,73.5,68,9
2017-02-24,75,69.1666666666667,71,59,12
2017-02-27,76,67.5,66.5,60,3
2017-03-01,80,68.875,68,51,3
2017-03-02,76,58.25,57.5,37,11
2017-03-03,70,59.2083333333333,59.5,46,9
2017-03-06,81,69.4166666666667,69.5,56,6
2017-03-07,75,70.9166666666667,72,66,17
2017-03-08,85,81.3333333333333,81.5,76,6
2017-03-09,84,73.4166666666667,72,62,10
2017-03-10,87,71.9583333333333,75,54,5
2017-03-13,81,73.125,76.5,57,6
2017-03-14,81,70.25,65.5,61,10
2017-03-15,84,70.5416666666667,70,64,3
2017-03-16,88,75.9166666666667,74,65,14
2017-03-17,81,73.7916666666667,73.5,66,12
2017-03-20,79,74.7083333333333,76,66,5
2017-03-21,81,73.1666666666667,74,61,17
2017-03-22,81,71.5,72,66,2
2017-03-23,83,64.8333333333333,68,44,10
2017-03-24,78,72.5833333333333,75,60,11
2017-03-27,82,65.0833333333333,61.5,47,3
2017-03-28,71,62.2916666666667,63,52,14
2017-03-29,70,58.1666666666667,60.5,40,3
2017-03-30,76,68.1666666666667,70.5,54,12
2017-03-31,77,70.5833333333333,72,58,13
2017-04-05,73,59,59.5,45,3
2017-04-06,70,60.4166666666667,62,46,12
2017-04-07,79,69.25,69,56,11
2017-04-10,83,68.2916666666667,71.5,48,5
2017-04-11,83,73.125,74,59,18
2017-04-12,91,88.3333333333333,90,78,3
2017-04-13,91,84.25,85.5,73,10
2017-04-14,88,76.1666666666667,75,64,20
2017-04-17,84,70.9583333333333,70,60,5
2017-04-18,89,78.375,78.5,67,27
2017-04-19,84,74.6666666666667,77,58,8
2017-04-20,80,73.25,75.5,61,7
2017-04-21,78,72.5,73.5,62,9
2017-04-24,89,77.2916666666667,77,63,7
2017-04-25,84,73.9583333333333,73,65,18
2017-04-26,82,75.1666666666667,77.5,66,5
2017-04-27,83,78.2916666666667,80,65,11
2017-04-28,80,66.6666666666667,64,53,9
2017-05-02,76,65.5416666666667,67,52,34
2017-05-03,82,72.7916666666667,75.5,60,2
2017-05-04,82,72.75,74.5,56,14
2017-05-05,82,72.7083333333333,75,54,12
2017-05-08,81,69.625,71.5,53,3
2017-05-09,78,72.375,75.5,60,13
2017-05-10,79,70.4166666666667,69.5,63,5
2017-05-11,75,70.2916666666667,71,60,8
2017-05-12,76,65.375,69.5,48,9
2017-05-15,81,72.25,72,64,6
2017-05-16,89,81.2916666666667,81,69,16
2017-05-17,90,74.6666666666667,73.5,57,1
2017-05-18,81,75.125,77.5,62,4
2017-05-19,87,78,79,67,9
2017-05-22,82,75.2916666666667,76,69,9
2017-05-23,82,75.9583333333333,77.5,68,12
2017-05-24,87,83,84,76,2
2017-05-25,89,83.1666666666667,86,68,11
2017-05-26,88,74.4583333333333,71,63,10
2017-05-29,84,77.125,77,69,1
2017-05-31,89,79.0416666666667,78,70,2
2017-06-01,86,83.0833333333333,84,76,15
2017-06-02,86,84.0833333333333,85,79,7
2017-06-05,87,76.6666666666667,78,63,4
2017-06-06,86,72.7916666666667,78,51,10
2017-06-07,88,76.0833333333333,79.5,59,6
2017-06-08,88,77,78,62,10
2017-06-09,80,68.75,67,56,13
2017-06-12,86,68.5833333333333,68,57,7
2017-06-13,87,73.625,75,59,14
2017-06-14,88,80.9583333333333,81,76,4
2017-06-15,93,89.5,89,86,15
2017-06-16,88,82.75,84,73,3
2017-06-19,81,72.9166666666667,75,63,3
2017-06-20,80,70.625,72,55,21
2017-06-21,75,67.375,67,60,8
2017-06-22,78,69.25,71,55,5
2017-06-23,81,72.2083333333333,75.5,58,11
2017-06-24,81,73.9166666666667,74,66,1
2017-06-26,78,73.4166666666667,75.5,65,2
2017-06-27,81,75.375,77,69,12
2017-06-28,83,74.2916666666667,73.5,68,1
2017-06-29,82,69.875,69,63,12
2017-06-30,80,67.5833333333333,68,48,11
2017-07-03,77,67.05,69,55,7
2017-07-04,74,65.125,67.5,52,15
2017-07-05,73,59.0833333333333,56,43,4
2017-07-06,74,66.0416666666667,70,49,14
2017-07-07,75,66.5,68,55,12
2017-07-10,71,65.0833333333333,66.5,56,10
2017-07-11,74,62.25,61,50,24
2017-07-12,78,64.4583333333333,67,49,1
2017-07-13,80,64.3333333333333,66,50,11
2017-07-14,77,63.9166666666667,64,50,8
2017-07-17,82,70.625,71,55,3
2017-07-18,82,69.9166666666667,69,60,17
2017-07-19,76,66.875,67.5,55,2
2017-07-20,73,64.875,67.5,51,12
2017-07-21,78,71.1666666666667,73.5,58,12
2017-07-24,82,70.2083333333333,69,56,5
2017-07-25,70,65.2083333333333,66,58,30
2017-07-26,86,71.0833333333333,70,55,3
2017-07-27,82,68.75,71,52,9
2017-07-28,79,73.7083333333333,76,62,4
2017-08-01,96,87.8333333333333,85.5,79,15
2017-08-02,99,90.1666666666667,92,75,1
2017-08-03,91,81.6666666666667,83.5,65,8
2017-08-04,93,81.4583333333333,79.5,69,11
2017-08-07,87,80.2083333333333,82,71,2
2017-08-08,90,81.8333333333333,83,73,21
2017-08-09,90,80.625,81.5,72,2
2017-08-10,86,79.6818181818182,81.5,71,11
2017-08-11,85,79.875,81,73,8
2017-08-14,82,75.9583333333333,78.5,65,3
2017-08-15,87,73.4166666666667,75,14,13
2017-08-16,84,73.875,72,66,1
2017-08-17,77,70.125,71.5,62,8
2017-08-18,81,73.5416666666667,75,64,10
2017-08-19,84,73.75,72.5,66,1
2017-08-21,90,82.3333333333333,81.5,77,3
2017-08-22,87,78.875,82.5,56,15
2017-08-23,78,67.7083333333333,69.5,57,1
2017-08-24,88,78.9583333333333,80.5,63,8
2017-08-25,90,80.625,81.5,69,11
2017-08-28,89,79.5,80,61,3
2017-08-29,85,80.7916666666667,82,74,9
2017-08-30,85,77.375,81.5,60,6
2017-08-31,89,83.7083333333333,83.5,76,7
2017-09-01,95,87.5833333333333,89.5,73,7
2017-09-04,87,79.5,83,67,4
2017-09-05,88,80.8333333333333,81.5,71,8
2017-09-06,91,77.6666666666667,80.5,58,2
2017-09-07,93,81.75,79.5,72,11
2017-09-08,93,82.5833333333333,83,71,6
2017-09-11,87,77.4166666666667,78.5,67,8
2017-09-12,87,78.0416666666667,81,65,17
2017-09-13,84,75,76,62,2
2017-09-14,89,80,82.5,68,12
2017-09-15,87,80.0416666666667,79.5,72,15
2017-09-18,81,69,66.5,55,14
2017-09-19,76,69.9166666666667,70.5,59,13
2017-09-20,88,70.375,68.5,53,2
2017-09-21,88,76.2083333333333,76,67,6
2017-09-22,85,72.875,75.5,59,10
2017-09-25,84,78.2916666666667,80.5,69,4
2017-09-26,87,81.375,84,74,13
2017-09-27,87,81.2083333333333,83,73,3
2017-09-28,89,78.9166666666667,81.5,50,8
2017-09-29,84,79.75,80.5,69,12
2017-10-02,85,77.3333333333333,78.5,67,9
2017-10-03,91,82.125,83.5,71,14
2017-10-05,91,81.7083333333333,81,73,9
2017-10-06,92,81.25,80.5,69,13
2017-10-11,87,77.2916666666667,81.5,53,6
2017-10-12,87,80.6666666666667,81,72,10
2017-10-13,95,87.7916666666667,87,80,14
2017-10-16,94,86.4583333333333,89,71,4
2017-10-17,97,86.0416666666667,84,76,9
2017-10-18,95,84.6666666666667,85.5,73,2
2017-10-19,93,79.75,81,61,15
2017-10-20,91,79.25,78,68,7
2017-10-23,75,67.125,68.5,58,8
2017-10-24,84,70.375,69,54,18
2017-10-25,86,72.4166666666667,70,60,2
2017-10-26,84,71.7916666666667,68.5,64,9
2017-10-27,82,69.625,75.5,49,6
2017-10-30,80,65.3333333333333,66,53,6
2017-10-31,76,66.5833333333333,66,57,23
2017-11-01,85,70,73,53,3
2017-11-02,93,76.5,80.5,47,8
2017-11-03,95,84.0416666666667,81,73,3
2017-11-06,91,85.4583333333333,85.5,81,3
2017-11-07,97,86.5,86.5,74,9
2017-11-08,94,84.7083333333333,83,74,3
2017-11-09,89,81.2916666666667,82,69,6
2017-11-10,91,85.8333333333333,87,77,10
2017-11-13,95,86.2083333333333,87.5,74,3
2017-11-14,96,86.7916666666667,86.5,78,18
2017-11-15,94,84.7916666666667,84.5,70,4
2017-11-16,93,84.2083333333333,86.5,72,12
2017-11-17,94,80.2916666666667,80.5,60,11
2017-11-19,77,74.6666666666667,75.5,68,1
2017-11-20,86,78.625,79,71,3
2017-11-21,89,81.0833333333333,82.5,69,3
2017-11-22,91,83.25,81,73,4
2017-11-23,82,72.2916666666667,70.5,61,9
2017-11-24,81,70.2916666666667,72.5,61,8
2017-11-27,92,81.5833333333333,82,68,5
2017-11-28,90,82.5,83.5,72,9
2017-11-29,94,84.125,85,71,3
2017-11-30,91,82.2916666666667,83.5,72,13
2017-12-01,88,77.4166666666667,76,68,11
2017-12-04,90,73.4583333333333,73,52,4
2017-12-05,82,67.25,66.5,52,16
2017-12-06,76,67.3333333333333,67,56,2
2017-12-07,81,69.7916666666667,72.5,55,7
2017-12-08,83,73.4583333333333,74.5,62,9
2017-12-11,92,74.375,67,60,8
2017-12-12,81,68.25,68.5,59,15
2017-12-13,88,75.9583333333333,78,53,3
2017-12-14,86,78.125,77.5,68,11
2017-12-15,90,81.8333333333333,84,71,9
2017-12-18,76,67.1666666666667,70,54,4
2017-12-19,77,69.375,71.5,57,16
2017-12-20,85,72.5,70,58,2
2017-12-21,79,67,66,56,6
2017-12-22,80,67.2083333333333,68,54,6
2017-12-25,80,72.7916666666667,72,64,2
2017-12-26,79,71.6666666666667,72,62,21
2017-12-27,85,75.4166666666667,76,62,3
2017-12-28,81,75,77,59,10
2017-12-29,85,76.5416666666667,78,61,9
