"date","Max","Mean","Med","Min","#people"
2017-01-03,26,21.8333333333333,22,19,10
2017-01-04,25,22.625,22,21,1
2017-01-05,26,22.625,22,20,11
2017-01-06,26,22.5416666666667,22.5,19,8
2017-01-09,26,21.6666666666667,21.5,19,4
2017-01-10,24,20.9583333333333,21,18,15
2017-01-11,25,21.0833333333333,21.5,17,3
2017-01-12,25,21.5416666666667,21.5,19,7
2017-01-13,26,22.375,21.5,20,13
2017-01-16,24,20.4166666666667,20,18,1
2017-01-17,24,21.1666666666667,21,18,13
2017-01-18,27,22.7083333333333,23,19,3
2017-01-19,27,23.7083333333333,23,21,6
2017-01-20,26,21.1666666666667,20.5,17,11
2017-01-23,22,20.3333333333333,21,18,2
2017-01-24,24,20.5416666666667,20,18,18
2017-01-25,25,20.2083333333333,19,17,6
2017-01-26,25,19.5833333333333,19.5,15,8
2017-02-02,25,20.875,20,18,9
2017-02-03,24,21,21,18,6
2017-02-06,26,22.1666666666667,21,19,2
2017-02-07,25,21.9166666666667,22,20,28
2017-02-08,25,22.125,22,19,7
2017-02-09,21,18.1666666666667,18,15,13
2017-02-10,19,16.8333333333333,17,15,6
2017-02-13,24,20.1666666666667,20.5,16,4
2017-02-14,25,20.7083333333333,20.5,17,17
2017-02-15,24,20.625,20.5,17,1
2017-02-16,26,21.8333333333333,22,17,5
2017-02-17,27,23.875,24,20,9
2017-02-20,30,26.25,26.5,23,6
2017-02-21,27,25.25,25,23,20
2017-02-22,30,25.9166666666667,27,22,3
2017-02-23,29,25.4583333333333,26.5,19,9
2017-02-24,25,20.5416666666667,19,18,12
2017-02-27,24,20.6666666666667,21,17,3
2017-03-01,26,21.5,21.5,18,3
2017-03-02,25,20.9166666666667,20,17,11
2017-03-03,24,19.9583333333333,21,15,9
2017-03-06,27,23.4166666666667,24,19,6
2017-03-07,21,19.1666666666667,19,18,17
2017-03-08,18,17.2916666666667,17,17,6
2017-03-09,24,21,21.5,18,10
2017-03-10,29,23.9583333333333,23.5,20,5
2017-03-13,29,25.625,25,23,6
2017-03-14,24,22,22,20,10
2017-03-15,24,21.4166666666667,22,19,3
2017-03-16,24,21.7083333333333,21.5,19,14
2017-03-17,25,22.4583333333333,23,19,12
2017-03-20,28,25.875,26,24,5
2017-03-21,28,25.5416666666667,25,24,17
2017-03-22,26,23.8333333333333,23.5,21,2
2017-03-23,31,26.2222222222222,26,22,10
2017-03-24,27,24.7083333333333,25,22,11
2017-03-27,23,19.625,20.5,16,3
2017-03-28,26,19.3333333333333,19,15,14
2017-03-29,20,17.0833333333333,16.5,15,3
2017-03-30,19,14.4166666666667,14.5,12,12
2017-03-31,35,17.1666666666667,14.5,11,13
2017-04-05,28,24.5833333333333,25,21,3
2017-04-06,29,26.2083333333333,27,22,12
2017-04-07,30,26.9166666666667,26.5,25,11
2017-04-10,32,28.375,28,25,5
2017-04-11,31,28.4583333333333,28,27,18
2017-04-12,28,24.375,24,22,3
2017-04-13,25,21.7916666666667,22,20,10
2017-04-14,27,24.7916666666667,26,22,20
2017-04-17,32,28.5416666666667,28.5,26,5
2017-04-18,29,27.5833333333333,27,26,27
2017-04-19,31,28.0416666666667,28,26,8
2017-04-20,30,27.7916666666667,28,26,7
2017-04-21,31,28.2083333333333,28,26,9
2017-04-24,28,24.3333333333333,25,22,7
2017-04-25,28,26.1666666666667,26.5,24,18
2017-04-26,30,27.7916666666667,27,26,5
2017-04-27,28,24.6666666666667,26,19,11
2017-04-28,26,22.1666666666667,22.5,19,9
2017-05-02,32,28.0416666666667,28,25,34
2017-05-03,31,28.375,28,26,2
2017-05-04,32,28.7916666666667,28,27,14
2017-05-05,33,29.0416666666667,29,27,12
2017-05-08,32,28.9166666666667,29,26,3
2017-05-09,31,28.9166666666667,28,27,13
2017-05-10,31,28.7916666666667,29,27,5
2017-05-11,31,29.25,29,28,8
2017-05-12,33,30.2916666666667,30,28,9
2017-05-15,31,28.5416666666667,28,27,6
2017-05-16,29,26.2916666666667,27,22,16
2017-05-17,28,25.7083333333333,26.5,23,1
2017-05-18,29,27.0833333333333,27,26,4
2017-05-19,29,26.2083333333333,26,23,9
2017-05-22,30,28.375,28,27,9
2017-05-23,31,28.9166666666667,29,27,12
2017-05-24,30,28.2916666666667,28,27,2
2017-05-25,30,27.5,27,26,11
2017-05-26,29,26.9583333333333,28,24,10
2017-05-29,30,28.2083333333333,28,27,1
2017-05-31,30,28.125,28,27,2
2017-06-01,30,28.6666666666667,29,27,15
2017-06-02,30,29,29,28,7
2017-06-05,33,29.5833333333333,30,26,4
2017-06-06,34,30.7083333333333,30,28,10
2017-06-07,33,30.6666666666667,30,29,6
2017-06-08,33,30.1666666666667,30,28,10
2017-06-09,33,30.8333333333333,31,28,13
2017-06-12,34,31.4166666666667,31,28,7
2017-06-13,33,30.25,30,27,14
2017-06-14,31,28.75,29,26,4
2017-06-15,27,26.25,26,25,15
2017-06-16,31,28.125,28,26,3
2017-06-19,32,29.75,29.5,27,3
2017-06-20,32,30.125,30,28,21
2017-06-21,33,30.7916666666667,30.5,28,8
2017-06-22,34,30.9166666666667,30.5,29,5
2017-06-23,33,30.625,30,29,11
2017-06-24,32,30.4166666666667,30,29,1
2017-06-26,32,30.5416666666667,30,29,2
2017-06-27,32,30.2916666666667,30,29,12
2017-06-28,32,30.2916666666667,30,29,1
2017-06-29,32,29.7916666666667,29,28,12
