"date","SO2","CO","O3","PM2.5","PM10","NO2","NO","RAIN","TEMP","RH","patient"
2017-01-03,3.2375,0.5512,33.8708,56.2083,104.7917,21.8333,2.5,0,21.8333,82.9583,10
2017-01-04,4.4042,0.5783,34.3958,53.9167,102.8333,22.95,3.85,0,22.625,80.0833,1
2017-01-05,2.3708,0.4625,33.3333,43.5833,79.5417,17.5833,1.2083,0,22.625,79.2083,11
2017-01-06,3.8792,0.5258,29.4625,55.2083,89.2917,20.375,4.8,0,22.5417,76.75,8
2017-01-09,4.5875,0.8054,29.2875,46.0833,105.875,25.25,6.0792,0,21.6667,76.125,4
2017-01-10,4.6417,0.7979,33.5375,53.125,106.0417,26.0833,4.8958,0,20.9583,72.4167,15
2017-01-11,4.6957,0.6826,36.0682,63.9583,117.9583,22.7619,2.5619,0,21.0833,74.2917,3
2017-01-12,3.5417,0.5179,32.1458,42.7083,89.375,19.8818,2.825,0,21.5417,78.5,7
2017-01-13,3.3583,0.6221,25.1875,52.3333,91.5,22.9583,2.1833,0,22.375,77.375,13
2017-01-16,4.4875,0.45,21.7292,23.7917,60,22.8292,3.2542,0,20.4167,71.375,1
2017-01-17,5.3333,0.5054,26.1792,35.7917,83.9583,28.8095,6.3429,0,21.1667,72.7917,13
2017-01-18,3.075,0.4325,35.1792,37.8333,83.625,21.125,1.6917,0,22.7083,76.3333,3
2017-01-19,3.1625,0.4617,29.9542,38.0417,75.25,22.8333,2.7875,0,23.7083,77.75,6
2017-01-20,2.9417,0.6162,23.3917,47.4167,105.125,26.5909,1.9818,0,21.1667,72.6667,11
2017-01-23,4.7625,0.615,35.0083,46.6667,109.5,27.85,3.1286,0,20.3333,63.0417,2
2017-01-24,5.0167,0.6521,25.7375,53.375,122.4167,31.7826,4.7174,0,20.5417,66.0833,18
2017-01-25,4.3917,0.5062,25.8625,39.75,88.2917,26.2917,2.9958,0,20.2083,68.375,6
2017-01-26,3.3458,0.4558,39.5417,34.7083,76.7083,17.9167,1.6292,0,19.5833,70,8
2017-02-02,3.1875,0.4609,32.2083,26.1667,78.0417,17.9208,1.3708,0,20.875,69.625,9
2017-02-03,3.5875,0.5575,32.0375,42.875,93.875,21.3917,1.9417,0,21,71.9583,6
2017-02-06,3.1958,0.6796,31.9708,57.6087,116.875,22.6684,5.2789,0,22.1667,76.0833,2
2017-02-07,3.9375,0.5438,36.2625,54.8333,123.5833,22.8458,2.6375,0,21.9167,68.625,28
2017-02-08,4.8458,0.4367,34.125,34.0417,96.2083,20.2375,2.6625,0,22.125,68.0417,7
2017-02-09,2.2208,0.3946,31,20.0417,81.0833,15.75,1.6958,0.0083,18.1667,63.9583,13
2017-02-10,5.3083,0.6542,33.625,62.4583,107.8333,24.9167,1.9042,0,16.8333,53.0833,6
2017-02-13,4.2042,0.5475,32.7292,37.2917,86.7083,24.2625,3.5458,0,20.1667,65.4167,4
2017-02-14,3.375,0.5488,40.3,44.0833,98.3333,23.3583,3.0625,0,20.7083,67.5833,17
2017-02-15,4.3417,0.4838,39.9583,43.1667,92.2917,22.4833,2.75,0,20.625,66.2083,1
2017-02-16,4.5417,0.5696,42.1833,45.9583,83.875,24.8333,4.5542,0,21.8333,60.625,5
2017-02-17,2.9,0.545,38.0792,27.0833,61.625,23.8375,4.6375,0,23.875,58.2083,9
2017-02-20,4.55,0.4788,28.4167,29.4583,72.2083,17.9583,3.625,0,26.25,74.3333,6
2017-02-21,4.0042,0.5387,36.5583,48.875,106.6818,19.8238,2.6957,0,25.25,76.0417,20
2017-02-22,6.4792,0.4833,21.5375,38.2083,81.0417,19.1833,3.2875,0,25.9167,75.6667,3
2017-02-23,4.0458,0.5117,24.0833,21.4583,70.75,20.6458,3.35,0.025,25.4583,75.625,9
2017-02-24,4.25,0.6933,14.7417,33.9565,75.4348,28.875,4.8625,0,20.5417,69.1667,12
2017-02-27,4.575,0.4912,36.8583,43.625,88.2083,18.7375,1.8125,0,20.6667,67.5,3
2017-03-01,4.2125,0.4562,35.825,38.5,74.5833,19.15,1.5917,0,21.5,68.875,3
2017-03-02,5.3583,0.5196,47.3333,54.0417,130.4583,22.2917,0.5833,0,20.9167,58.25,11
2017-03-03,5.3208,0.5771,40.6958,52.2917,117.25,24.25,2.0625,0,19.9583,59.2083,9
2017-03-06,3.9833,0.4367,32,24.0417,63.5417,19.1833,1.075,0,23.4167,69.4167,6
2017-03-07,4.675,0.6504,17.0792,65.125,105.9167,32.9583,2.4333,0,19.1667,70.9167,17
2017-03-08,2.7417,0.655,9.8292,42.6957,65.7826,31.8571,3.9333,0,17.2917,81.3333,6
2017-03-09,4.2667,0.735,36.9042,46.3333,69.75,26.2042,7.2,0,21,73.4167,10
2017-03-10,4.2625,0.6362,32.3708,48.625,88.3333,25.7958,1.85,0.0667,23.9583,71.9583,5
2017-03-13,2.3417,0.3908,50.9167,31.4583,58.0833,10.7625,0.3958,0,25.625,73.125,6
2017-03-14,3.9375,0.4521,34.2083,38.0833,70.7917,19.875,1.025,0,22,70.25,10
2017-03-15,5.1125,0.4579,39.875,41.9167,76.4167,20.6625,2.9667,0.0083,21.4167,70.5417,3
2017-03-16,4.9333,0.4896,40.4583,38.4583,71.0833,19.0583,3.25,0.0333,21.7083,75.9167,14
2017-03-17,3.6042,0.4688,38.8292,41.7083,68.2917,15.9042,7.375,0,22.4583,73.7917,12
2017-03-20,4.0875,0.4412,35.375,28.25,54.5,11.1381,2.9091,0,25.875,74.7083,5
2017-03-21,3.5375,0.4992,43.2833,35.1667,74.3333,11.2042,2.0208,0,25.5417,73.1667,17
2017-03-22,4.55,0.5712,47.4458,37.1667,76.4583,10.3304,1.5565,0,23.8333,71.5,2
2017-03-23,3.0167,0.375,58.1667,26.4444,70,11.5611,0.3,0,26.2222,64.8333,10
2017-03-24,5.175,0.5246,54.5125,38.9167,81.1667,15.175,1.6542,0,24.7083,72.5833,11
2017-03-27,2.8083,0.5267,49.75,28.6667,65.125,13.225,1.9083,0,19.625,65.0833,3
2017-03-28,4.9708,0.4879,62.9583,35.375,84.75,18.6,0.695,0,19.3333,62.2917,14
2017-03-29,5.4292,0.5333,56.0125,50.2917,96.6667,19.225,1.6792,0,17.0833,58.1667,3
2017-03-30,5.9875,0.5771,53.4,52.1667,93.4167,18.7167,1.0375,0,14.4167,68.1667,12
2017-03-31,3.7833,0.3958,30.2083,29.5,60.4583,13.7625,2.2958,0,17.1667,70.5833,13
2017-04-05,3.9542,0.3908,64.3333,39.8333,74.9167,12.3583,0.2958,0,24.5833,59,3
2017-04-06,5.5125,0.4438,35.0208,30.9583,63.2917,22.1958,2.2083,0,26.2083,60.4167,12
2017-04-07,5.0917,0.3312,26.6667,14.6667,50.0417,14.35,1.2083,0,26.9167,69.25,11
2017-04-10,3.0542,0.2754,15.9792,15.75,33.5417,9.5542,1.1833,0,28.375,68.2917,5
