"date","SO2","CO","O3","PM2.5","PM10","NO2","NO","RAIN","TEMP","RH","patient","time","allergy","hives"
2017-01-03,3.68,0.758,65.8,66.2,121.4,30,3.98,0,21.8333,82.9583,10,1,4,6
2017-01-04,5.78,0.666,69.8,64,121.6,30,3.94,0,22.625,80.0833,1,2,1,0
2017-01-05,3.34,0.542,54.2,57.8,106,25,1.36,0,22.625,79.2083,11,3,7,4
2017-01-06,5,0.59,54.4,67.6,109.4,24,7.26,0,22.5417,76.75,8,4,3,5
2017-01-09,6.28,0.894,58.8,58.8,163.8,29.8,11.6,0,21.6667,76.125,4,5,3,1
2017-01-10,5.94,0.984,63.8,60.2,115.4,29.4,7.62,0,20.9583,72.4167,15,6,8,8
2017-01-11,5.76,0.776,62.2,80.4,135.6,27,1.7,0,21.0833,74.2917,3,7,1,3
2017-01-12,4.78,0.6,62.6,54.2,110.8,24.8,3.34,0,21.5417,78.5,7,8,4,3
2017-01-13,4.8,0.812,45.6,67.4,108,36,3.4,0,22.375,77.375,13,9,7,7
2017-01-16,5.2,0.584,46.2,29.8,76.4,29.4,4.94000000000001,0,20.4167,71.375,1,10,1,0
2017-01-17,6.74,0.608,53.4,49,95.8,33,9.1,0,21.1667,72.7917,13,11,7,8
2017-01-18,3.74,0.53,62.8,49.8,89.8,26,2.46,0,22.7083,76.3333,3,12,0,3
2017-01-19,3.64,0.558,60,45,87.4,29.4,3.86,0,23.7083,77.75,6,13,4,2
2017-01-20,3.6,0.766,42.6,53,134.8,32.8,2.66,0,21.1667,72.6667,11,14,10,4
2017-01-23,5.84,0.718,65.4,59.8,138.6,33,4.5,0,20.3333,63.0417,2,15,0,2
2017-01-24,6.7,0.844,55.4,65.4,143.4,37.6,9.18,0,20.5417,66.0833,18,16,15,3
2017-01-25,5.48,0.568,51.8,56.4,106.4,28.4,6.16000000000001,0,20.2083,68.375,6,17,0,6
2017-01-26,3.84,0.554,66.8,38.4,99,20.4,2.66,0,19.5833,70,8,18,6,2
2017-02-02,3.64,0.576,54.6,37.6,130.4,22.2,2.48,0,20.875,69.625,9,19,7,2
2017-02-03,4.56,0.682,60.8,55.4,102.8,28.8,2.78,0,21,71.9583,6,20,4,3
2017-02-06,3.52,0.84,63.4,70.2,161.2,32,11,0,22.1667,76.0833,2,21,1,1
2017-02-07,5.26,0.61,65.4,69.4,149,31.4,1.54,0,21.9167,68.625,28,22,15,15
2017-02-08,6.62,0.504,61,43.4,105.4,26.4,3.04,0,22.125,68.0417,7,23,2,7
2017-02-09,2.54,0.534,37.6,28.4,88.4,19.8,2.72,0.0083,18.1667,63.9583,13,24,7,6
2017-02-10,6.04,0.716,43.2,70.8,137.4,31.2,3.56,0,16.8333,53.0833,6,25,2,4
