"date","place","urticaria","allergy","both","value","weight_value_allergy","weight_value_urticaria","sum_allergy","sum_urticaria","sum_allergy1","sum_urticaria1"
2014-01-02,"く猌",0,1,1,5.87083333333333,5.87083333333333,0,5,2,5.55916666666667,5.36875
2014-01-02,"オ犁",1,2,3,5.94583333333333,11.8916666666667,5.94583333333333,5,2,5.55916666666667,5.36875
2014-01-02,"玡",0,1,1,5.24166666666667,5.24166666666667,0,5,2,5.55916666666667,5.36875
2014-01-02,"获",1,1,2,4.79166666666667,4.79166666666667,4.79166666666667,5,2,5.55916666666667,5.36875
2014-01-03,"オ犁",1,1,1,2.96666666666667,2.96666666666667,2.96666666666667,4,4,5.00833333333333,5.03645833333333
2014-01-03,"玡",1,2,3,4.85416666666667,9.70833333333334,4.85416666666667,4,4,5.00833333333333,5.03645833333333
2014-01-03,"罚标",1,0,1,4.96666666666667,0,4.96666666666667,4,4,5.00833333333333,5.03645833333333
2014-01-03,"获",1,1,2,7.35833333333333,7.35833333333333,7.35833333333333,4,4,5.00833333333333,5.03645833333333
2014-01-06,"糳",0,1,1,9.99166666666667,9.99166666666667,0,3,2,8.40972222222222,8.30625
2014-01-06,"玡",1,1,2,6.85,6.85,6.85,3,2,8.40972222222222,8.30625
2014-01-06,"玡马",0,1,1,8.3875,8.3875,0,3,2,8.40972222222222,8.30625
2014-01-06,"获",1,0,1,9.7625,0,9.7625,3,2,8.40972222222222,8.30625
2014-01-07,"糳",1,0,1,13.3625,0,13.3625,5,5,7.36652173913043,8.8706884057971
2014-01-07,"オ犁",1,1,2,8.40833333333333,8.40833333333333,8.40833333333333,5,5,7.36652173913043,8.8706884057971
2014-01-07,"玡",2,1,2,6.5,6.5,13,5,5,7.36652173913043,8.8706884057971
2014-01-07,"玡马",1,1,2,9.58260869565217,9.58260869565217,9.58260869565217,5,5,7.36652173913043,8.8706884057971
2014-01-07,"获",0,2,2,6.17083333333333,12.3416666666667,0,5,5,7.36652173913043,8.8706884057971
2014-01-08,"オ犁",1,0,1,4.6,0,4.6,0,1,NA,4.6
2014-01-09,"糳",0,1,1,7.51666666666667,7.51666666666667,0,3,0,5.13194444444445,NA
2014-01-09,"オ犁",0,1,1,3.57916666666667,3.57916666666667,0,3,0,5.13194444444445,NA
2014-01-09,"罚标",0,1,1,4.3,4.3,0,3,0,5.13194444444445,NA
2014-01-10,"く猌",0,1,1,6.375,6.375,0,3,3,5.7018115942029,4.28472222222223
2014-01-10,"オ犁",0,2,2,5.36521739130435,10.7304347826087,0,3,3,5.7018115942029,4.28472222222223
2014-01-10,"緻",2,0,2,1.4125,0,2.825,3,3,5.7018115942029,4.28472222222223
2014-01-10,"获",1,0,1,10.0291666666667,0,10.0291666666667,3,3,5.7018115942029,4.28472222222223
2014-01-13,"糳",1,0,1,3.64166666666667,0,3.64166666666667,2,2,5.46458333333334,3.3375
2014-01-13,"玡马",0,1,1,3.22916666666667,3.22916666666667,0,2,2,5.46458333333334,3.3375
2014-01-13,"罚标",1,0,1,3.03333333333333,0,3.03333333333333,2,2,5.46458333333334,3.3375
2014-01-13,"获",0,1,1,7.7,7.7,0,2,2,5.46458333333334,3.3375
2014-01-14,"く猌",0,2,2,4.79047619047619,9.58095238095238,0,8,7,4.07001488095238,4.96309523809524
2014-01-14,"オ犁",1,1,2,3.77083333333333,3.77083333333333,3.77083333333333,8,7,4.07001488095238,4.96309523809524
2014-01-14,"玡",3,3,6,3.83333333333333,11.5,11.5,8,7,4.07001488095238,4.96309523809524
2014-01-14,"获",2,0,2,7.80833333333333,0,15.6166666666667,8,7,4.07001488095238,4.96309523809524
2014-01-14,"爵繷",1,2,2,3.85416666666667,7.70833333333334,3.85416666666667,8,7,4.07001488095238,4.96309523809524
2014-01-16,"オ犁",1,0,1,5.46666666666667,0,5.46666666666667,7,2,6.33452380952381,6.34791666666667
2014-01-16,"玡",0,1,1,6.68333333333333,6.68333333333333,0,7,2,6.33452380952381,6.34791666666667
2014-01-16,"玡马",0,1,1,6.74583333333333,6.74583333333333,0,7,2,6.33452380952381,6.34791666666667
2014-01-16,"罚标",0,1,1,4.5375,4.5375,0,7,2,6.33452380952381,6.34791666666667
2014-01-16,"获",1,2,3,7.22916666666667,14.4583333333333,7.22916666666667,7,2,6.33452380952381,6.34791666666667
2014-01-16,"爵繷",0,2,2,5.95833333333333,11.9166666666667,0,7,2,6.33452380952381,6.34791666666667
2014-01-17,"オ犁",0,1,1,4.525,4.525,0,4,3,4.56458333333333,4.38611111111111
2014-01-17,"玡马",0,1,1,6.04166666666667,6.04166666666667,0,4,3,4.56458333333333,4.38611111111111
2014-01-17,"緻",1,1,2,1.7375,1.7375,1.7375,4,3,4.56458333333333,4.38611111111111
2014-01-17,"罚标",1,0,1,5.46666666666667,0,5.46666666666667,4,3,4.56458333333333,4.38611111111111
2014-01-17,"爵繷",1,1,1,5.95416666666667,5.95416666666667,5.95416666666667,4,3,4.56458333333333,4.38611111111111
2014-01-20,"オ犁",1,0,1,4.13333333333333,0,4.13333333333333,2,6,5.27083333333333,4.64375
2014-01-20,"玡",1,0,1,4.37916666666667,0,4.37916666666667,2,6,5.27083333333333,4.64375
2014-01-20,"罚标",1,1,2,3.60416666666667,3.60416666666667,3.60416666666667,2,6,5.27083333333333,4.64375
2014-01-20,"获",1,1,2,6.9375,6.9375,6.9375,2,6,5.27083333333333,4.64375
2014-01-20,"爵繷",2,0,2,4.40416666666667,0,8.80833333333334,2,6,5.27083333333333,4.64375
2014-01-21,"糳",1,0,1,5.90416666666667,0,5.90416666666667,9,7,7.02777777777777,6.275
2014-01-21,"く猌",1,2,3,6.88333333333333,13.7666666666667,6.88333333333333,9,7,7.02777777777777,6.275
2014-01-21,"オ犁",1,1,2,6.4625,6.4625,6.4625,9,7,7.02777777777777,6.275
2014-01-21,"玡",2,0,2,6.0875,0,12.175,9,7,7.02777777777777,6.275
2014-01-21,"玡马",0,1,1,5.4125,5.4125,0,9,7,7.02777777777777,6.275
2014-01-21,"緻",0,1,1,3.125,3.125,0,9,7,7.02777777777777,6.275
2014-01-21,"罚标",1,0,1,5.75416666666667,0,5.75416666666667,9,7,7.02777777777777,6.275
2014-01-21,"获",0,2,2,10.4958333333333,20.9916666666666,0,9,7,7.02777777777777,6.275
2014-01-21,"爵繷",1,2,3,6.74583333333333,13.4916666666667,6.74583333333333,9,7,7.02777777777777,6.275
2014-01-23,"く猌",1,2,3,7.97083333333333,15.9416666666667,7.97083333333333,13,5,6.34551282051282,6.98583333333333
2014-01-23,"オ犁",0,1,1,5.87916666666667,5.87916666666667,0,13,5,6.34551282051282,6.98583333333333
2014-01-23,"玡",1,3,3,6.45,19.35,6.45,13,5,6.34551282051282,6.98583333333333
2014-01-23,"玡马",0,1,1,7.40833333333333,7.40833333333333,0,13,5,6.34551282051282,6.98583333333333
2014-01-23,"罚标",0,1,1,4.75416666666667,4.75416666666667,0,13,5,6.34551282051282,6.98583333333333
2014-01-23,"获",2,2,4,8.09166666666667,16.1833333333333,16.1833333333333,13,5,6.34551282051282,6.98583333333333
2014-01-23,"爵繷",1,3,4,4.325,12.975,4.325,13,5,6.34551282051282,6.98583333333333
2014-01-24,"く猌",0,2,2,8.90416666666667,17.8083333333333,0,5,2,6.81166666666667,4.7375
2014-01-24,"オ犁",0,1,1,6.68333333333333,6.68333333333333,0,5,2,6.81166666666667,4.7375
2014-01-24,"玡",1,0,1,7.07916666666667,0,7.07916666666667,5,2,6.81166666666667,4.7375
2014-01-24,"緻",1,0,1,2.39583333333333,0,2.39583333333333,5,2,6.81166666666667,4.7375
2014-01-24,"爵繷",0,2,2,4.78333333333333,9.56666666666666,0,5,2,6.81166666666667,4.7375
2014-01-27,"オ犁",1,0,1,4.83333333333333,0,4.83333333333333,3,4,6.68472222222222,3.94270833333333
2014-01-27,"玡",0,2,2,5.39583333333333,10.7916666666667,0,3,4,6.68472222222222,3.94270833333333
2014-01-27,"緻",1,0,1,2.08333333333333,0,2.08333333333333,3,4,6.68472222222222,3.94270833333333
2014-01-27,"罚标",1,0,1,4.45833333333333,0,4.45833333333333,3,4,6.68472222222222,3.94270833333333
2014-01-27,"获",0,1,1,9.2625,9.2625,0,3,4,6.68472222222222,3.94270833333333
2014-01-27,"爵繷",1,0,1,4.39583333333333,0,4.39583333333333,3,4,6.68472222222222,3.94270833333333
2014-01-28,"く猌",0,1,1,6.05416666666667,6.05416666666667,0,12,1,5.13563762626263,5.67916666666667
2014-01-28,"オ犁",0,2,2,4.81666666666667,9.63333333333334,0,12,1,5.13563762626263,5.67916666666667
2014-01-28,"狶堕",0,1,1,5.13181818181818,5.13181818181818,0,12,1,5.13563762626263,5.67916666666667
2014-01-28,"玡",0,1,1,4.48333333333333,4.48333333333333,0,12,1,5.13563762626263,5.67916666666667
2014-01-28,"玡马",0,1,1,6.35416666666667,6.35416666666667,0,12,1,5.13563762626263,5.67916666666667
2014-01-28,"緻",0,1,1,2.2125,2.2125,0,12,1,5.13563762626263,5.67916666666667
2014-01-28,"罚标",0,1,1,5.04166666666667,5.04166666666667,0,12,1,5.13563762626263,5.67916666666667
2014-01-28,"获",1,4,5,5.67916666666667,22.7166666666667,5.67916666666667,12,1,5.13563762626263,5.67916666666667
2014-02-04,"糳",0,1,1,8.28333333333333,8.28333333333333,0,10,10,5.47583333333333,4.45083333333333
2014-02-04,"く猌",2,1,3,5.6375,5.6375,11.275,10,10,5.47583333333333,4.45083333333333
2014-02-04,"オ犁",4,2,4,4.075,8.15,16.3,10,10,5.47583333333333,4.45083333333333
2014-02-04,"玡",0,2,2,3.83333333333333,7.66666666666666,0,10,10,5.47583333333333,4.45083333333333
2014-02-04,"玡马",2,1,3,4.9875,4.9875,9.975,10,10,5.47583333333333,4.45083333333333
2014-02-04,"罚标",2,0,2,3.47916666666667,0,6.95833333333334,10,10,5.47583333333333,4.45083333333333
2014-02-04,"获",0,2,2,8.04166666666667,16.0833333333333,0,10,10,5.47583333333333,4.45083333333333
2014-02-04,"爵繷",0,1,1,3.95,3.95,0,10,10,5.47583333333333,4.45083333333333
2014-02-06,"糳",0,1,1,1.85,1.85,0,5,2,5.9925,4.20416666666666
2014-02-06,"く猌",0,1,1,6.85416666666667,6.85416666666667,0,5,2,5.9925,4.20416666666666
