,date,wday,urticaria,allergy,yday,SO2,CO,O3,PM2.5,PM10,NO,NO2,TEMP,RH,RAIN,WS_HR,urticaria_M,urticaria_F,allergy_M,allergy_F,urticaria_20,urticaria_65,allergy_20,allergy_65
1,2014/1/1,3,0,0,1,7.448611111,0.901319444,29.60347222,60.74305556,98.76041667,10.196875,30.98402778,19.51388889,67.625,0,1.033333333,0,0,0,0,0,0,0,0
2,2014/1/2,4,2,5,2,5.657291667,0.834479167,35.35277778,51.13934179,89.00679348,7.8116093,30.78399621,21.32986111,64.06944444,0,1.030555556,2,0,1,4,1,1,5,0
3,2014/1/3,5,4,4,3,6.073263889,0.682708333,32.08715278,39.86805556,75.16319444,4.390625,27.48923611,23.67361111,65.52430556,0,1.194791667,2,2,0,4,4,0,4,0
6,2014/1/6,1,2,3,6,8.105208333,0.952380737,35.99479167,85.69217995,136.9889795,7.267708333,34.715625,19.82986111,60.45138889,0,0.964930556,1,1,1,2,1,1,1,2
7,2014/1/7,2,5,5,7,7.877370169,0.923023853,43.85042271,72.74849034,120.2985205,6.736970246,35.28797447,20.65277778,64.31944444,0,1.094097222,1,4,1,4,4,1,5,0
8,2014/1/8,3,1,0,8,5.906280193,0.668645833,36.98128019,58.58363527,107.0289032,5.346279762,27.16016865,21.74652778,65.81944444,0,1.357638889,0,1,0,0,1,0,0,0
9,2014/1/9,4,0,3,9,5.745833333,0.625381944,21.75381944,41.56814065,92.26214592,5.557291667,26.00972222,17.90625,69.25347222,0,1.229166667,0,0,0,3,0,0,2,1
10,2014/1/10,5,3,3,10,6.168976449,0.599340278,25.53784722,39.44838329,85.66217885,8.441418651,26.33958333,17.75347222,70.05555556,0,1.165277778,2,1,0,3,1,2,3,0
13,2014/1/13,1,2,2,13,4.180902778,0.524201389,26.04479167,36.19202899,81.14281401,3.862626263,21.0131272,18.17708333,71.34027778,0,1.245486111,1,1,1,1,0,2,2,0
14,2014/1/14,2,7,8,14,5.089816253,0.594776786,18.4404158,37.50232919,86.71667961,5.058417443,23.24534632,16.93253968,71.67121722,0,1.213489907,0,7,2,6,6,1,7,1
15,2014/1/15,3,0,0,15,5.59639747,0.527585653,28.62426901,31.6618083,99.30505691,5.495145245,23.90621345,16.72536868,69.23510202,0,1.233361937,0,0,0,0,0,0,0,0
16,2014/1/16,4,2,7,16,6.514583333,0.591493056,31.04652778,32.44137022,85.18003404,6.856687802,27.25428744,17.88541667,64.19444444,0,1.210416667,1,1,2,5,1,1,4,3
17,2014/1/17,5,3,4,17,5.977083333,0.579895833,32.76875,36.79846014,93.72629831,6.004861111,29.12777778,18.45486111,64.15972222,0,1.186805556,0,3,0,4,1,2,3,1
20,2014/1/20,1,6,2,20,5.453472222,0.556319444,36.02951389,49.57714372,171.6872118,3.633333333,22.51909722,17.43055556,61.37152778,0,1.211805556,0,6,0,2,5,1,2,0
21,2014/1/21,2,7,9,21,6.985839372,0.655241546,21.52118056,61.02777778,146.5381944,5.534469697,28.01860864,15.44097222,63.28819444,0.1,1.144097222,0,7,1,8,3,4,7,2
22,2014/1/22,3,0,0,22,7.414960749,0.570360809,26.79122886,43.33705259,119.1430199,6.559687912,28.20799242,14.25729167,57.06944444,0,1.172569444,0,0,0,0,0,0,0,0
23,2014/1/23,4,5,13,23,6.068055556,0.608055556,31.990625,38.92708333,87.12847222,9.211805556,27.52789855,15.77430556,60.46527778,0,1.159027778,1,4,4,9,3,2,11,2
24,2014/1/24,5,2,5,24,6.172569444,0.590208333,39.26666667,37.69684618,77.64927811,5.610069444,30.39171627,17.28333333,56.00347222,0,1.201041667,0,2,3,2,2,0,3,2
27,2014/1/27,1,4,3,27,6.465972222,0.688576389,31.49930556,271.5707816,118.6121679,6.576041667,28.66701389,18.20138889,70.20138889,0,1.195138889,1,3,0,3,3,1,3,0
